,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,377.9,,,,,2022-08-04 00:00:00+00:00
1,376.65,,,,,2022-08-05 00:00:00+00:00
2,378.12,,,,,2022-08-08 00:00:00+00:00
3,377.09,,,,,2022-08-09 00:00:00+00:00
4,393.2,,,,,2022-08-10 00:00:00+00:00
5,386.17,,,,,2022-08-11 00:00:00+00:00
6,391.92,,,,,2022-08-12 00:00:00+00:00
7,391.09,,,,,2022-08-15 00:00:00+00:00
8,388.77,,,,,2022-08-16 00:00:00+00:00
9,387.73,,,,,2022-08-17 00:00:00+00:00
10,387.38,,,,,2022-08-18 00:00:00+00:00
11,379.92,384.66166666666663,,,,2022-08-19 00:00:00+00:00
12,376.45,384.5408333333334,,,,2022-08-22 00:00:00+00:00
13,372.8,384.21999999999997,,,,2022-08-23 00:00:00+00:00
14,375.71,384.01916666666665,,,,2022-08-24 00:00:00+00:00
15,379.62,384.22999999999996,,,,2022-08-25 00:00:00+00:00
16,364.06,381.8016666666667,,,,2022-08-26 00:00:00+00:00
17,361.0,379.70416666666665,,,,2022-08-29 00:00:00+00:00
18,355.56,376.6741666666667,,,,2022-08-30 00:00:00+00:00
19,352.18,373.4316666666666,,,,2022-08-31 00:00:00+00:00
20,351.97,370.365,,,,2022-09-01 00:00:00+00:00
21,347.63,367.0233333333333,,,,2022-09-02 00:00:00+00:00
22,356.79,364.47416666666663,,,,2022-09-06 00:00:00+00:00
23,363.53,363.10833333333335,,,,2022-09-07 00:00:00+00:00
24,367.06,362.3258333333333,,,,2022-09-08 00:00:00+00:00
25,369.42,362.0441666666666,373.4507692307692,,,2022-09-09 00:00:00+00:00
26,371.5,361.6933333333333,373.20461538461535,,,2022-09-12 00:00:00+00:00
27,356.51,359.7675,372.43,,,2022-09-13 00:00:00+00:00
28,351.16,358.69250000000005,371.3930769230769,,,2022-09-14 00:00:00+00:00
29,347.06,357.5308333333333,370.23807692307696,,,2022-09-15 00:00:00+00:00
30,346.07,356.74,368.42538461538464,,,2022-09-16 00:00:00+00:00
31,344.69,356.1158333333333,366.83,,,2022-09-19 00:00:00+00:00
32,339.35,355.0641666666667,364.80807692307695,,,2022-09-20 00:00:00+00:00
33,334.88,354.0016666666666,362.6461538461539,,,2022-09-21 00:00:00+00:00
34,322.37,351.1333333333334,360.09230769230766,,,2022-09-22 00:00:00+00:00
35,317.86,347.32750000000004,357.40500000000003,,,2022-09-23 00:00:00+00:00
36,315.43,343.02500000000003,354.6376923076923,,,2022-09-26 00:00:00+00:00
37,313.27,338.34583333333336,352.0742307692308,,,2022-09-27 00:00:00+00:00
38,314.77,333.61833333333334,349.7019230769231,,,2022-09-28 00:00:00+00:00
39,310.43,329.77833333333336,347.3030769230769,,,2022-09-29 00:00:00+00:00
