,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,414.17,,,,,2022-08-04 00:00:00+00:00
1,413.47,,,,,2022-08-05 00:00:00+00:00
2,412.99,,,,,2022-08-08 00:00:00+00:00
3,411.35,,,,,2022-08-09 00:00:00+00:00
4,419.99,,,,,2022-08-10 00:00:00+00:00
5,419.99,,,,,2022-08-11 00:00:00+00:00
6,427.1,,,,,2022-08-12 00:00:00+00:00
7,428.86,,,,,2022-08-15 00:00:00+00:00
8,429.7,,,,,2022-08-16 00:00:00+00:00
9,426.65,,,,,2022-08-17 00:00:00+00:00
10,427.89,,,,,2022-08-18 00:00:00+00:00
11,422.14,421.19166666666666,,,,2022-08-19 00:00:00+00:00
12,413.35,421.1233333333333,,,,2022-08-22 00:00:00+00:00
13,412.35,421.03,,,,2022-08-23 00:00:00+00:00
14,413.67,421.08666666666664,,,,2022-08-24 00:00:00+00:00
15,419.51,421.76666666666665,,,,2022-08-25 00:00:00+00:00
16,405.31,420.5433333333333,,,,2022-08-26 00:00:00+00:00
17,402.63,419.09666666666664,,,,2022-08-29 00:00:00+00:00
18,398.21,416.6891666666666,,,,2022-08-30 00:00:00+00:00
19,395.18,413.8825,,,,2022-08-31 00:00:00+00:00
20,396.42,411.1091666666667,,,,2022-09-01 00:00:00+00:00
21,392.24,408.2416666666666,,,,2022-09-02 00:00:00+00:00
22,390.76,405.14750000000004,,,,2022-09-06 00:00:00+00:00
23,397.78,403.1175,,,,2022-09-07 00:00:00+00:00
24,400.38,402.03666666666663,,,,2022-09-08 00:00:00+00:00
25,406.6,401.55750000000006,411.48807692307696,,,2022-09-09 00:00:00+00:00
26,410.97,401.3325,411.365,,,2022-09-12 00:00:00+00:00
27,393.1,399.13166666666666,410.5815384615385,,,2022-09-13 00:00:00+00:00
28,394.6,398.23916666666673,409.87423076923085,,,2022-09-14 00:00:00+00:00
29,390.12,397.1966666666667,409.0576923076923,,,2022-09-15 00:00:00+00:00
30,385.56,396.1425,407.7334615384616,,,2022-09-16 00:00:00+00:00
31,388.55,395.59,406.5242307692307,,,2022-09-19 00:00:00+00:00
32,384.09,394.5625,404.87,,,2022-09-20 00:00:00+00:00
33,377.39,393.325,402.8903846153846,,,2022-09-21 00:00:00+00:00
34,378.3,392.28666666666663,400.91346153846155,,,2022-09-22 00:00:00+00:00
35,367.95,389.8008333333334,398.6557692307692,,,2022-09-23 00:00:00+00:00
36,364.31,386.795,396.21038461538467,,,2022-09-26 00:00:00+00:00
37,363.38,383.1933333333333,393.9503846153847,,,2022-09-27 00:00:00+00:00
38,370.53,379.8233333333333,392.3034615384616,,,2022-09-28 00:00:00+00:00
39,362.79,377.29749999999996,390.39730769230766,,,2022-09-29 00:00:00+00:00
40,357.18,374.1791666666666,388.2246153846154,,,2022-09-30 00:00:00+00:00
41,366.61,372.21999999999997,386.19,,,2022-10-03 00:00:00+00:00
42,377.97,371.58750000000003,385.13846153846157,,,2022-10-04 00:00:00+00:00
43,377.09,370.6325,384.1561538461538,,,2022-10-05 00:00:00+00:00
44,373.2,369.72499999999997,383.1942307692308,,,2022-10-06 00:00:00+00:00
45,362.79,368.5083333333334,381.9484615384615,,,2022-10-07 00:00:00+00:00
46,360.02,366.98499999999996,380.54846153846154,,,2022-10-10 00:00:00+00:00
47,357.74,366.13416666666666,379.22153846153844,,,2022-10-11 00:00:00+00:00
48,356.56,365.4883333333333,377.9061538461538,,,2022-10-12 00:00:00+00:00
49,365.97,365.70416666666665,376.6826923076923,393.7092,,2022-10-13 00:00:00+00:00
50,357.63,364.62916666666666,375.03846153846155,392.57840000000004,,2022-10-14 00:00:00+00:00
51,366.82,364.965,373.5084615384615,391.6454,,2022-10-17 00:00:00+00:00
52,371.13,366.1275,371.97615384615386,390.8082,,2022-10-18 00:00:00+00:00
53,368.5,366.285,371.03000000000003,389.95120000000003,,2022-10-19 00:00:00+00:00
54,365.41,365.2383333333333,369.9073076923077,388.8596,,2022-10-20 00:00:00+00:00
55,374.29,365.00499999999994,369.29846153846154,387.94560000000007,,2022-10-21 00:00:00+00:00
56,378.87,365.4775,369.04115384615386,386.981,,2022-10-24 00:00:00+00:00
57,384.92,367.3216666666667,368.9015384615385,386.1021999999999,,2022-10-25 00:00:00+00:00
58,382.02,369.15500000000003,368.8219230769231,385.1486,,2022-10-26 00:00:00+00:00
59,379.98,371.0083333333334,368.9215384615385,384.2152,,2022-10-27 00:00:00+00:00
60,389.02,373.71333333333337,369.33384615384614,383.4378,,2022-10-28 00:00:00+00:00
61,386.21,375.3999999999999,370.03615384615387,382.7192,,2022-10-31 00:00:00+00:00
62,384.52,377.6408333333333,370.8134615384615,382.14259999999996,,2022-11-01 00:00:00+00:00
63,374.87,378.31166666666667,371.25538461538457,381.39300000000003,,2022-11-02 00:00:00+00:00
64,371.01,378.3016666666667,371.27384615384614,380.53979999999996,,2022-11-03 00:00:00+00:00
65,376.35,378.95583333333326,371.79538461538465,379.6766,,2022-11-04 00:00:00+00:00
66,379.95,380.1675,372.67115384615386,379.16939999999994,,2022-11-07 00:00:00+00:00
67,382.0,380.81,373.26307692307694,378.7568,,2022-11-08 00:00:00+00:00
68,374.13,380.415,373.11538461538464,378.2752,,2022-11-09 00:00:00+00:00
69,394.69,381.2291666666667,373.7923076923077,378.2654,,2022-11-10 00:00:00+00:00
70,398.51,382.6033333333333,374.76576923076925,378.3072,,2022-11-11 00:00:00+00:00
71,395.12,383.865,376.0092307692308,378.36479999999995,,2022-11-14 00:00:00+00:00
72,398.49,384.65416666666664,377.4888461538461,378.5194,,2022-11-15 00:00:00+00:00
73,395.45,385.4241666666666,378.9392307692308,378.4728,,2022-11-16 00:00:00+00:00
74,394.24,386.2341666666667,380.38846153846157,378.35,,2022-11-17 00:00:00+00:00
75,396.03,387.9975,381.5446153846154,378.1386,,2022-11-18 00:00:00+00:00
76,394.59,389.96250000000003,382.9661538461539,377.811,,2022-11-21 00:00:00+00:00
77,399.9,391.925,384.2384615384616,377.94700000000006,,2022-11-22 00:00:00+00:00
78,402.42,393.79749999999996,385.44192307692305,378.10339999999997,,2022-11-23 00:00:00+00:00
79,402.33,395.4916666666666,386.7430769230769,378.3476,,2022-11-25 00:00:00+00:00
80,395.91,397.3066666666666,387.91615384615386,378.5546,,2022-11-28 00:00:00+00:00
