,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,89.7,,,,,2022-08-04 00:00:00+00:00
1,87.73,,,,,2022-08-05 00:00:00+00:00
2,85.5,,,,,2022-08-08 00:00:00+00:00
3,81.13,,,,,2022-08-09 00:00:00+00:00
4,88.84,,,,,2022-08-10 00:00:00+00:00
5,85.99,,,,,2022-08-11 00:00:00+00:00
6,87.95,,,,,2022-08-12 00:00:00+00:00
7,86.72,,,,,2022-08-15 00:00:00+00:00
8,85.88,,,,,2022-08-16 00:00:00+00:00
9,80.33,,,,,2022-08-17 00:00:00+00:00
10,79.72,,,,,2022-08-18 00:00:00+00:00
11,74.36,84.4875,,,,2022-08-19 00:00:00+00:00
12,73.01,83.09666666666666,,,,2022-08-22 00:00:00+00:00
13,70.94,81.6975,,,,2022-08-23 00:00:00+00:00
14,72.62,80.62416666666665,,,,2022-08-24 00:00:00+00:00
15,74.63,80.0825,,,,2022-08-25 00:00:00+00:00
16,68.87,78.41833333333334,,,,2022-08-26 00:00:00+00:00
17,67.75,76.89833333333333,,,,2022-08-29 00:00:00+00:00
18,69.05,75.32333333333334,,,,2022-08-30 00:00:00+00:00
19,68.91,73.83916666666667,,,,2022-08-31 00:00:00+00:00
20,68.75,72.41166666666668,,,,2022-09-01 00:00:00+00:00
21,66.33,71.245,,,,2022-09-02 00:00:00+00:00
22,65.3,70.04333333333334,,,,2022-09-06 00:00:00+00:00
23,67.82,69.49833333333333,,,,2022-09-07 00:00:00+00:00
24,70.59,69.29666666666667,,,,2022-09-08 00:00:00+00:00
25,74.29,69.57583333333334,76.64269230769231,,,2022-09-09 00:00:00+00:00
26,75.25,69.795,76.08692307692307,,,2022-09-12 00:00:00+00:00
27,69.58,69.37416666666667,75.38884615384615,,,2022-09-13 00:00:00+00:00
28,68.56,69.34833333333334,74.73730769230768,,,2022-09-14 00:00:00+00:00
29,69.18,69.4675,74.2776923076923,,,2022-09-15 00:00:00+00:00
30,64.89,69.12083333333332,73.35653846153846,,,2022-09-16 00:00:00+00:00
31,63.71,68.6875,72.49961538461538,,,2022-09-19 00:00:00+00:00
32,61.47,68.08083333333333,71.48115384615384,,,2022-09-20 00:00:00+00:00
33,59.45,67.5075,70.43230769230769,,,2022-09-21 00:00:00+00:00
34,55.93,66.72666666666667,69.28038461538462,,,2022-09-22 00:00:00+00:00
35,56.27,65.76416666666667,68.355,,,2022-09-23 00:00:00+00:00
36,54.14,64.39333333333333,67.37115384615385,,,2022-09-26 00:00:00+00:00
37,55.08,62.7925,66.62961538461539,,,2022-09-27 00:00:00+00:00
38,59.07,61.44416666666666,66.09346153846154,,,2022-09-28 00:00:00+00:00
39,55.9,60.304166666666674,65.515,,,2022-09-29 00:00:00+00:00
40,54.99,59.173333333333325,64.83692307692307,,,2022-09-30 00:00:00+00:00
41,55.78,58.05666666666667,64.11192307692308,,,2022-10-03 00:00:00+00:00
42,62.41,57.85,63.86346153846153,,,2022-10-04 00:00:00+00:00
43,62.15,57.72,63.64807692307692,,,2022-10-05 00:00:00+00:00
44,61.93,57.75833333333333,63.37423076923077,,,2022-10-06 00:00:00+00:00
45,57.41,57.58833333333334,62.93192307692308,,,2022-10-07 00:00:00+00:00
46,56.62,57.645833333333336,62.46538461538462,,,2022-10-10 00:00:00+00:00
47,53.45,57.41083333333333,61.97,,,2022-10-11 00:00:00+00:00
48,56.14,57.57750000000001,61.61769230769231,,,2022-10-12 00:00:00+00:00
49,56.23,57.673333333333325,61.17192307692308,68.766,,2022-10-13 00:00:00+00:00
50,51.51,57.04333333333333,60.43807692307692,68.0022,,2022-10-14 00:00:00+00:00
51,55.92,57.044999999999995,59.73153846153846,67.366,,2022-10-17 00:00:00+00:00
52,57.27,57.23499999999999,59.04,66.8014,,2022-10-18 00:00:00+00:00
53,53.94,57.08166666666667,58.43846153846154,66.2576,,2022-10-19 00:00:00+00:00
54,55.18,56.479166666666664,57.923846153846156,65.5844,,2022-10-20 00:00:00+00:00
55,55.99,55.965833333333336,57.41653846153846,64.98440000000001,,2022-10-21 00:00:00+00:00
56,56.99,55.55416666666667,57.1126923076923,64.3652,,2022-10-24 00:00:00+00:00
57,59.66,55.74166666666667,56.956923076923076,63.824000000000005,,2022-10-25 00:00:00+00:00
58,59.47,55.979166666666664,56.88,63.2958,,2022-10-26 00:00:00+00:00
59,60.26,56.546666666666674,56.91115384615385,62.8944,,2022-10-27 00:00:00+00:00
60,61.29,56.97583333333333,57.11730769230769,62.52580000000001,,2022-10-28 00:00:00+00:00
61,60.07,57.29583333333334,57.263461538461534,62.24,,2022-10-31 00:00:00+00:00
62,59.0,57.92000000000001,57.45038461538461,61.959799999999994,,2022-11-01 00:00:00+00:00
63,54.64,57.81333333333333,57.433461538461536,61.633799999999994,,2022-11-02 00:00:00+00:00
64,53.91,57.53333333333333,57.23500000000001,61.2596,,2022-11-03 00:00:00+00:00
65,60.11,58.04750000000001,57.39692307692307,60.9692,,2022-11-04 00:00:00+00:00
66,62.67,58.67166666666666,57.69230769230769,60.8452,,2022-11-07 00:00:00+00:00
67,62.51,59.214999999999996,57.951153846153844,60.7404,,2022-11-08 00:00:00+00:00
68,57.21,59.23333333333333,57.751153846153855,60.503600000000006,,2022-11-09 00:00:00+00:00
69,67.4,59.87833333333333,57.95307692307692,60.4734,,2022-11-10 00:00:00+00:00
70,71.66,60.89416666666667,58.32730769230769,60.5316,,2022-11-11 00:00:00+00:00
71,70.27,61.72833333333333,58.821923076923085,60.6104,,2022-11-14 00:00:00+00:00
72,73.38,62.73583333333334,59.466538461538455,60.772000000000006,,2022-11-15 00:00:00+00:00
73,69.55,63.52583333333333,60.08576923076923,60.806599999999996,,2022-11-16 00:00:00+00:00
74,67.99,64.27499999999999,60.54153846153846,60.7546,,2022-11-17 00:00:00+00:00
75,65.82,65.20666666666666,60.910384615384615,60.58519999999999,,2022-11-18 00:00:00+00:00
76,61.85,65.86833333333333,61.308076923076925,60.3172,,2022-11-21 00:00:00+00:00
77,62.72,66.08583333333333,61.56961538461538,60.18,,2022-11-22 00:00:00+00:00
78,63.92,66.19,61.825384615384614,60.0872,,2022-11-23 00:00:00+00:00
79,63.38,66.2625,62.18846153846153,59.971199999999996,,2022-11-25 00:00:00+00:00
80,61.37,66.60916666666667,62.42653846153847,59.9008,,2022-11-28 00:00:00+00:00
81,62.11,66.16833333333334,62.66192307692308,59.8688,,2022-11-29 00:00:00+00:00
82,67.77,65.84416666666665,63.07653846153846,59.994800000000005,,2022-11-30 00:00:00+00:00
