,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,161.44,,,,,2022-08-04 00:00:00+00:00
1,159.79,,,,,2022-08-05 00:00:00+00:00
2,160.96,,,,,2022-08-08 00:00:00+00:00
3,162.55,,,,,2022-08-09 00:00:00+00:00
4,163.48,,,,,2022-08-10 00:00:00+00:00
5,163.89,,,,,2022-08-11 00:00:00+00:00
6,166.37,,,,,2022-08-12 00:00:00+00:00
7,167.52,,,,,2022-08-15 00:00:00+00:00
8,169.05,,,,,2022-08-16 00:00:00+00:00
9,169.59,,,,,2022-08-17 00:00:00+00:00
10,170.44,,,,,2022-08-18 00:00:00+00:00
11,170.06,165.42833333333334,,,,2022-08-19 00:00:00+00:00
12,168.17,165.98916666666665,,,,2022-08-22 00:00:00+00:00
13,168.3,166.69833333333335,,,,2022-08-23 00:00:00+00:00
14,168.43,167.32083333333333,,,,2022-08-24 00:00:00+00:00
15,168.67,167.83083333333335,,,,2022-08-25 00:00:00+00:00
16,166.54,168.08583333333334,,,,2022-08-26 00:00:00+00:00
17,168.29,168.45250000000001,,,,2022-08-29 00:00:00+00:00
18,166.06,168.42666666666665,,,,2022-08-30 00:00:00+00:00
19,164.97,168.21416666666667,,,,2022-08-31 00:00:00+00:00
20,168.01,168.1275,,,,2022-09-01 00:00:00+00:00
21,166.8,167.89499999999998,,,,2022-09-02 00:00:00+00:00
22,167.83,167.6775,,,,2022-09-06 00:00:00+00:00
23,173.49,167.96333333333334,,,,2022-09-07 00:00:00+00:00
24,172.94,168.36083333333335,,,,2022-09-08 00:00:00+00:00
25,173.76,168.81583333333336,167.2076923076923,,,2022-09-09 00:00:00+00:00
26,175.65,169.4175,167.7542307692308,,,2022-09-12 00:00:00+00:00
27,170.83,169.5975,168.17884615384617,,,2022-09-13 00:00:00+00:00
28,173.7,170.19416666666666,168.66884615384618,,,2022-09-14 00:00:00+00:00
29,170.88,170.41,168.98923076923077,,,2022-09-15 00:00:00+00:00
30,168.44,170.60833333333335,169.17999999999998,,,2022-09-16 00:00:00+00:00
31,172.93,171.27166666666668,169.52769230769232,,,2022-09-19 00:00:00+00:00
32,168.86,171.3425,169.62346153846153,,,2022-09-20 00:00:00+00:00
33,166.26,171.29749999999999,169.575,,,2022-09-21 00:00:00+00:00
34,164.19,170.99416666666664,169.38807692307694,,,2022-09-22 00:00:00+00:00
35,161.78,170.01833333333335,169.0876923076923,,,2022-09-23 00:00:00+00:00
36,157.23,168.70916666666668,168.57961538461538,,,2022-09-26 00:00:00+00:00
37,154.15,167.075,167.9676923076923,,,2022-09-27 00:00:00+00:00
38,156.98,165.51916666666668,167.53730769230768,,,2022-09-28 00:00:00+00:00
39,151.48,163.90666666666667,166.89038461538465,,,2022-09-29 00:00:00+00:00
40,149.94,161.92666666666668,166.17923076923077,,,2022-09-30 00:00:00+00:00
41,155.12,160.61333333333332,165.65807692307692,,,2022-10-03 00:00:00+00:00
42,157.63,159.7125,165.3153846153846,,,2022-10-04 00:00:00+00:00
43,153.53,158.09583333333333,164.7476923076923,,,2022-10-05 00:00:00+00:00
44,148.91,156.4333333333333,164.08807692307693,,,2022-10-06 00:00:00+00:00
45,147.03,154.83083333333335,163.39807692307693,,,2022-10-07 00:00:00+00:00
46,147.55,153.44416666666666,162.61115384615385,,,2022-10-10 00:00:00+00:00
47,146.96,152.20916666666668,161.84807692307692,,,2022-10-11 00:00:00+00:00
48,140.7,150.83166666666668,160.80461538461537,,,2022-10-12 00:00:00+00:00
49,143.03,149.905,159.6330769230769,163.0232,,2022-10-13 00:00:00+00:00
50,141.5,148.615,158.42384615384617,162.6244,,2022-10-14 00:00:00+00:00
51,144.87,148.06416666666667,157.31269230769232,162.326,,2022-10-17 00:00:00+00:00
52,145.41,147.68666666666667,156.14961538461537,162.015,,2022-10-18 00:00:00+00:00
53,143.74,146.73833333333334,155.1076923076923,161.6388,,2022-10-19 00:00:00+00:00
54,139.74,145.2475,153.80153846153846,161.164,,2022-10-20 00:00:00+00:00
55,142.28,144.31,152.70153846153846,160.7318,,2022-10-21 00:00:00+00:00
56,144.14,143.9125,151.7669230769231,160.2872,,2022-10-24 00:00:00+00:00
57,146.22,143.845,150.73961538461538,159.8612,,2022-10-25 00:00:00+00:00
58,147.53,143.84333333333333,149.91923076923078,159.4308,,2022-10-26 00:00:00+00:00
59,150.0,144.09666666666666,149.29384615384618,159.039,,2022-10-27 00:00:00+00:00
60,152.39,145.07083333333335,148.84,158.678,,2022-10-28 00:00:00+00:00
61,150.94,145.73,148.42307692307693,158.2956,,2022-10-31 00:00:00+00:00
62,151.45,146.55916666666664,148.20076923076923,157.9612,,2022-11-01 00:00:00+00:00
63,150.54,147.03166666666667,148.06192307692305,157.606,,2022-11-02 00:00:00+00:00
64,152.61,147.63166666666666,147.89384615384614,157.28959999999998,,2022-11-03 00:00:00+00:00
65,154.83,148.5558333333333,148.02269230769232,157.0128,,2022-11-04 00:00:00+00:00
