,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,214.23,,,,,2022-08-04 00:00:00+00:00
1,215.79,,,,,2022-08-05 00:00:00+00:00
2,217.32,,,,,2022-08-08 00:00:00+00:00
3,214.95,,,,,2022-08-09 00:00:00+00:00
4,219.2,,,,,2022-08-10 00:00:00+00:00
5,218.01,,,,,2022-08-11 00:00:00+00:00
6,223.12,,,,,2022-08-12 00:00:00+00:00
7,224.57,,,,,2022-08-15 00:00:00+00:00
8,224.16,,,,,2022-08-16 00:00:00+00:00
9,221.43,,,,,2022-08-17 00:00:00+00:00
10,220.84,,,,,2022-08-18 00:00:00+00:00
11,218.14,219.3133333333333,,,,2022-08-19 00:00:00+00:00
12,212.35,219.15666666666667,,,,2022-08-22 00:00:00+00:00
13,209.14,218.6025,,,,2022-08-23 00:00:00+00:00
14,212.5,218.20083333333332,,,,2022-08-24 00:00:00+00:00
15,216.69,218.34583333333333,,,,2022-08-25 00:00:00+00:00
16,207.0,217.32916666666668,,,,2022-08-26 00:00:00+00:00
17,206.8,216.39499999999998,,,,2022-08-29 00:00:00+00:00
18,205.27,214.9075,,,,2022-08-30 00:00:00+00:00
19,205.2,213.29333333333332,,,,2022-08-31 00:00:00+00:00
20,206.68,211.83666666666667,,,,2022-09-01 00:00:00+00:00
21,203.76,210.3641666666667,,,,2022-09-02 00:00:00+00:00
22,202.73,208.85500000000002,,,,2022-09-06 00:00:00+00:00
23,211.21,208.2775,,,,2022-09-07 00:00:00+00:00
24,220.28,208.9383333333333,,,,2022-09-08 00:00:00+00:00
25,230.0,210.67666666666665,214.6680769230769,,,2022-09-09 00:00:00+00:00
26,231.83,212.2875,215.345,,,2022-09-12 00:00:00+00:00
27,225.85,213.05083333333332,215.7319230769231,,,2022-09-13 00:00:00+00:00
28,226.19,214.64999999999998,216.0730769230769,,,2022-09-14 00:00:00+00:00
29,226.72,216.31000000000003,216.52576923076924,,,2022-09-15 00:00:00+00:00
30,221.25,217.64166666666668,216.60461538461539,,,2022-09-16 00:00:00+00:00
31,220.88,218.94833333333335,216.715,,,2022-09-19 00:00:00+00:00
32,217.96,219.88833333333332,216.51653846153846,,,2022-09-20 00:00:00+00:00
33,212.47,220.61416666666665,216.05115384615385,,,2022-09-21 00:00:00+00:00
34,208.88,221.12666666666667,215.4634615384615,,,2022-09-22 00:00:00+00:00
35,206.93,220.77,214.90576923076924,,,2022-09-23 00:00:00+00:00
36,203.26,219.3516666666667,214.22961538461539,,,2022-09-26 00:00:00+00:00
37,202.68,217.07500000000002,213.63499999999996,,,2022-09-27 00:00:00+00:00
38,205.82,214.90750000000003,213.38384615384618,,,2022-09-28 00:00:00+00:00
39,205.48,213.21,213.2430769230769,,,2022-09-29 00:00:00+00:00
40,202.54,211.23916666666665,212.85999999999999,,,2022-09-30 00:00:00+00:00
41,209.84,209.83249999999998,212.59653846153847,,,2022-10-03 00:00:00+00:00
42,215.8,209.37833333333333,212.935,,,2022-10-04 00:00:00+00:00
43,216.12,208.98166666666665,213.29346153846154,,,2022-10-05 00:00:00+00:00
44,211.42,208.4366666666667,213.53,,,2022-10-06 00:00:00+00:00
45,208.52,208.1075,213.6576923076923,,,2022-10-07 00:00:00+00:00
46,208.0,208.03416666666666,213.7084615384615,,,2022-10-10 00:00:00+00:00
47,211.46,208.41166666666666,214.0046153846154,,,2022-10-11 00:00:00+00:00
48,208.65,208.86083333333337,214.2323076923077,,,2022-10-12 00:00:00+00:00
49,214.1,209.8125,214.34346153846153,214.0804,,2022-10-13 00:00:00+00:00
50,209.13,210.08833333333337,213.9146153846154,213.9784,,2022-10-14 00:00:00+00:00
51,215.63,210.93416666666667,213.36192307692306,213.9752,,2022-10-17 00:00:00+00:00
52,214.92,211.96583333333334,212.71153846153845,213.9272,,2022-10-18 00:00:00+00:00
53,216.69,212.53666666666666,212.35923076923078,213.96199999999996,,2022-10-19 00:00:00+00:00
54,214.44,212.42333333333332,211.9073076923077,213.8668,,2022-10-20 00:00:00+00:00
55,218.31,212.60583333333332,211.58384615384617,213.87279999999998,,2022-10-21 00:00:00+00:00
56,220.5,213.36249999999998,211.555,213.82039999999998,,2022-10-24 00:00:00+00:00
57,224.62,214.70416666666665,211.69884615384615,213.82139999999998,,2022-10-25 00:00:00+00:00
58,228.59,216.42,212.10769230769228,213.91,,2022-10-26 00:00:00+00:00
59,228.28,217.8216666666667,212.71576923076924,214.04699999999997,,2022-10-27 00:00:00+00:00
60,229.23,219.53666666666663,213.49846153846153,214.2148,,2022-10-28 00:00:00+00:00
61,229.24,220.79833333333332,214.3565384615385,214.4368,,2022-10-31 00:00:00+00:00
62,220.09,221.71166666666667,215.00384615384613,214.5916,,2022-11-01 00:00:00+00:00
63,211.97,221.40666666666667,215.36115384615385,214.6482,,2022-11-02 00:00:00+00:00
64,205.51,220.62250000000003,215.34923076923076,214.5084,,2022-11-03 00:00:00+00:00
65,210.98,220.14666666666668,215.56076923076924,214.39419999999998,,2022-11-04 00:00:00+00:00
66,213.52,220.07000000000002,215.98307692307694,214.5246,,2022-11-07 00:00:00+00:00
67,209.84,219.36416666666665,215.98307692307694,214.58540000000002,,2022-11-08 00:00:00+00:00
68,207.16,218.25250000000003,215.65076923076924,214.6232,,2022-11-09 00:00:00+00:00
69,218.96,217.78083333333336,215.76000000000002,214.8984,,2022-11-10 00:00:00+00:00
70,224.29,217.4225,216.255,215.25060000000002,,2022-11-11 00:00:00+00:00
