,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,635.91,,,,,2022-08-04 00:00:00+00:00
1,638.3,,,,,2022-08-05 00:00:00+00:00
2,641.18,,,,,2022-08-08 00:00:00+00:00
3,644.04,,,,,2022-08-09 00:00:00+00:00
4,666.06,,,,,2022-08-10 00:00:00+00:00
5,661.5,,,,,2022-08-11 00:00:00+00:00
6,676.6,,,,,2022-08-12 00:00:00+00:00
7,677.01,,,,,2022-08-15 00:00:00+00:00
8,677.36,,,,,2022-08-16 00:00:00+00:00
9,668.83,,,,,2022-08-17 00:00:00+00:00
10,655.5,,,,,2022-08-18 00:00:00+00:00
11,646.0,657.3575,,,,2022-08-19 00:00:00+00:00
12,631.5,656.99,,,,2022-08-22 00:00:00+00:00
13,638.77,657.0291666666666,,,,2022-08-23 00:00:00+00:00
14,643.04,657.1841666666667,,,,2022-08-24 00:00:00+00:00
15,654.13,658.025,,,,2022-08-25 00:00:00+00:00
16,631.02,655.105,,,,2022-08-26 00:00:00+00:00
17,622.8,651.88,,,,2022-08-29 00:00:00+00:00
18,606.98,646.0783333333333,,,,2022-08-30 00:00:00+00:00
19,600.39,639.6933333333334,,,,2022-08-31 00:00:00+00:00
20,605.43,633.6991666666667,,,,2022-09-01 00:00:00+00:00
21,601.2,628.0633333333334,,,,2022-09-02 00:00:00+00:00
22,601.39,623.5541666666667,,,,2022-09-06 00:00:00+00:00
23,614.87,620.9599999999999,,,,2022-09-07 00:00:00+00:00
24,615.58,619.6333333333333,,,,2022-09-08 00:00:00+00:00
25,619.92,618.0625,637.5119230769232,,,2022-09-09 00:00:00+00:00
26,628.37,616.84,637.2219230769231,,,2022-09-12 00:00:00+00:00
27,593.73,611.8066666666667,635.5076923076923,,,2022-09-13 00:00:00+00:00
28,600.14,609.2333333333332,633.9292307692308,,,2022-09-14 00:00:00+00:00
29,587.1,606.2583333333333,631.7392307692309,,,2022-09-15 00:00:00+00:00
30,581.93,604.1708333333333,628.5034615384616,,,2022-09-16 00:00:00+00:00
31,592.04,603.475,625.8319230769231,,,2022-09-19 00:00:00+00:00
32,584.71,601.7483333333333,622.2976923076923,,,2022-09-20 00:00:00+00:00
33,567.06,598.9033333333333,618.0688461538462,,,2022-09-21 00:00:00+00:00
34,554.7,595.0124999999999,613.3511538461539,,,2022-09-22 00:00:00+00:00
35,540.51,588.8158333333333,608.4157692307692,,,2022-09-23 00:00:00+00:00
36,531.44,581.8041666666667,603.6442307692307,,,2022-09-26 00:00:00+00:00
37,531.83,574.4633333333334,599.253076923077,,,2022-09-27 00:00:00+00:00
38,540.24,567.1191666666667,595.743076923077,,,2022-09-28 00:00:00+00:00
39,530.4,561.8416666666667,591.575,,,2022-09-29 00:00:00+00:00
40,524.82,555.565,587.0280769230769,,,2022-09-30 00:00:00+00:00
41,542.35,551.8358333333334,582.7288461538462,,,2022-10-03 00:00:00+00:00
42,563.52,550.3016666666666,580.1326923076923,,,2022-10-04 00:00:00+00:00
43,551.75,546.9441666666667,577.4000000000001,,,2022-10-05 00:00:00+00:00
44,547.0,543.8016666666666,575.093076923077,,,2022-10-06 00:00:00+00:00
45,533.48,541.0033333333334,572.5196153846153,,,2022-10-07 00:00:00+00:00
46,531.52,539.0716666666666,569.676923076923,,,2022-10-10 00:00:00+00:00
47,522.59,537.5783333333334,566.6534615384616,,,2022-10-11 00:00:00+00:00
48,509.83,535.7775,563.131923076923,,,2022-10-12 00:00:00+00:00
49,521.71,534.9341666666667,559.5488461538462,597.7616,,2022-10-13 00:00:00+00:00
50,514.28,532.7708333333334,555.6526923076924,595.3290000000001,,2022-10-14 00:00:00+00:00
51,525.61,532.3716666666668,552.0253846153846,593.0752,,2022-10-17 00:00:00+00:00
52,540.21,533.6541666666667,548.6346153846154,591.0558,,2022-10-18 00:00:00+00:00
53,541.5,533.5833333333334,546.6257692307693,589.005,,2022-10-19 00:00:00+00:00
54,531.02,530.875,543.9673076923077,586.3042,,2022-10-20 00:00:00+00:00
55,537.88,529.7191666666666,542.0742307692308,583.8317999999999,,2022-10-21 00:00:00+00:00
56,542.58,529.3508333333333,540.5607692307692,581.1514,,2022-10-24 00:00:00+00:00
57,555.04,531.1474999999999,539.1376923076924,578.712,,2022-10-25 00:00:00+00:00
58,554.82,533.0891666666666,537.988076923077,576.2612,,2022-10-26 00:00:00+00:00
59,564.35,536.5691666666667,537.8838461538462,574.1716,,2022-10-27 00:00:00+00:00
60,581.55,542.5458333333333,538.9165384615385,572.6926,,2022-10-28 00:00:00+00:00
61,575.76,547.0500000000001,540.2723076923077,571.2878,,2022-10-31 00:00:00+00:00
62,575.52,552.1533333333333,541.9676923076923,570.1682,,2022-11-01 00:00:00+00:00
63,557.71,554.8283333333333,542.963076923077,568.547,,2022-11-02 00:00:00+00:00
64,563.1,556.7358333333333,543.8423076923077,566.9482,,2022-11-03 00:00:00+00:00
65,579.61,559.9116666666666,545.735,565.4578,,2022-11-04 00:00:00+00:00
66,584.88,564.4,548.045,564.535,,2022-11-07 00:00:00+00:00
67,594.08,569.0833333333334,550.0346153846153,563.9606,,2022-11-08 00:00:00+00:00
68,582.8,572.4350000000001,550.7761538461539,563.4770000000001,,2022-11-09 00:00:00+00:00
69,640.02,579.5166666666667,554.1711538461539,564.2696000000001,,2022-11-10 00:00:00+00:00
70,626.25,585.4691666666666,557.2192307692308,564.686,,2022-11-11 00:00:00+00:00
71,616.14,589.785,560.3984615384616,564.9848000000001,,2022-11-14 00:00:00+00:00
72,618.01,592.8233333333334,563.7249999999999,565.3172,,2022-11-15 00:00:00+00:00
73,612.57,595.8908333333333,567.1857692307693,565.2711999999999,,2022-11-16 00:00:00+00:00
74,602.08,598.1041666666666,570.7338461538462,565.0012,,2022-11-17 00:00:00+00:00
75,620.61,603.3458333333334,574.5376923076923,565.015,,2022-11-18 00:00:00+00:00
76,616.39,607.7866666666666,578.465,564.7754,,2022-11-21 00:00:00+00:00
77,629.36,611.9325,582.4553846153847,565.488,,2022-11-22 00:00:00+00:00
78,639.04,616.4458333333333,586.2565384615384,566.266,,2022-11-23 00:00:00+00:00
79,636.54,619.9841666666667,589.911923076923,567.2547999999999,,2022-11-25 00:00:00+00:00
80,606.09,621.9250000000001,592.7992307692307,567.738,,2022-11-28 00:00:00+00:00
81,609.88,619.4133333333333,595.5684615384615,568.0948000000001,,2022-11-29 00:00:00+00:00
82,628.5,619.6008333333333,598.873076923077,568.9706000000001,,2022-11-30 00:00:00+00:00
83,634.64,621.1425,601.9346153846153,570.3222000000001,,2022-12-01 00:00:00+00:00
84,621.82,621.4599999999999,604.5115384615384,571.6646,,2022-12-02 00:00:00+00:00
85,616.85,621.8166666666667,606.5307692307692,573.1914,,2022-12-05 00:00:00+00:00
86,607.45,622.2641666666667,607.5269230769231,574.7116,,2022-12-06 00:00:00+00:00
87,609.69,621.3541666666666,608.8319230769231,576.2688,,2022-12-07 00:00:00+00:00
88,614.47,621.1941666666667,610.33,577.7533999999999,,2022-12-08 00:00:00+00:00
89,609.7,619.5558333333333,612.3296153846154,579.3394000000001,,2022-12-09 00:00:00+00:00
90,618.02,617.8041666666667,614.4419230769231,581.2034,,2022-12-12 00:00:00+00:00
91,626.59,616.975,616.2488461538461,582.8882,,2022-12-13 00:00:00+00:00
92,628.01,618.8016666666667,617.9076923076923,584.178,,2022-12-14 00:00:00+00:00
93,612.15,618.9908333333334,618.6026923076923,585.386,,2022-12-15 00:00:00+00:00
94,605.73,617.0933333333334,619.4846153846154,586.5606,,2022-12-16 00:00:00+00:00
95,602.05,614.3775,618.0242307692308,587.932,,2022-12-19 00:00:00+00:00
96,610.16,613.4058333333334,617.4053846153846,589.5047999999999,,2022-12-20 00:00:00+00:00
97,627.64,614.305,617.8476923076923,591.6058,,2022-12-21 00:00:00+00:00
98,619.05,615.2716666666666,617.8876923076924,593.7902,,2022-12-22 00:00:00+00:00
99,620.32,616.1574999999999,618.1857692307692,595.7624000000001,,2022-12-23 00:00:00+00:00
100,626.45,617.1558333333334,619.1230769230768,598.0058,,2022-12-27 00:00:00+00:00
101,621.7,618.1558333333334,619.1650000000001,599.9276,,2022-12-28 00:00:00+00:00
102,628.4,619.0208333333334,619.626923076923,601.6914,,2022-12-29 00:00:00+00:00
103,629.65,619.2758333333334,619.6380769230769,603.4544000000001,,2022-12-30 00:00:00+00:00
104,625.77,619.0891666666666,619.1276923076923,605.3494000000001,,2023-01-03 00:00:00+00:00
105,633.56,620.8733333333333,619.0130769230769,607.263,,2023-01-04 00:00:00+00:00
106,636.46,623.4341666666667,620.1811538461538,609.1406,,2023-01-05 00:00:00+00:00
107,649.03,627.3491666666666,621.686923076923,611.0204,,2023-01-06 00:00:00+00:00
108,650.82,630.7375,622.5453846153846,612.9404,,2023-01-09 00:00:00+00:00
109,658.8,633.3341666666666,623.4746153846154,614.8294000000001,,2023-01-10 00:00:00+00:00
110,673.83,637.8991666666667,625.475,616.6750000000001,,2023-01-11 00:00:00+00:00
111,680.2,642.8891666666667,627.9115384615385,618.7638,,2023-01-12 00:00:00+00:00
112,683.88,647.675,630.8511538461539,620.931,,2023-01-13 00:00:00+00:00
113,680.35,652.5625,633.5688461538462,623.3838,,2023-01-17 00:00:00+00:00
114,672.11,656.205,635.7857692307692,625.564,,2023-01-18 00:00:00+00:00
115,660.24,658.7541666666666,637.7296153846154,627.1766,,2023-01-19 00:00:00+00:00
116,672.65,662.6608333333334,639.8307692307692,628.932,,2023-01-20 00:00:00+00:00
117,685.0,666.9475,642.0773076923076,630.7503999999999,,2023-01-23 00:00:00+00:00
118,694.25,671.7633333333333,644.625,632.9793999999999,,2023-01-24 00:00:00+00:00
119,700.5,676.0525,648.0230769230768,634.189,,2023-01-25 00:00:00+00:00
120,710.14,680.9958333333334,652.0388461538462,635.8668,,2023-01-26 00:00:00+00:00
121,710.69,685.32,656.2173076923077,637.7578,,2023-01-27 00:00:00+00:00
122,707.25,688.105,659.9515384615383,639.5426,,2023-01-30 00:00:00+00:00
123,717.75,691.2341666666667,663.4173076923076,641.6462,,2023-01-31 00:00:00+00:00
124,728.15,694.9233333333333,667.6134615384616,644.1676,,2023-02-01 00:00:00+00:00
125,711.84,697.5475,671.1334615384616,645.9922,,2023-02-02 00:00:00+00:00
126,713.5,700.9966666666668,674.4815384615384,647.9344,,2023-02-03 00:00:00+00:00
127,720.35,706.0058333333333,678.2757692307691,649.7542,,2023-02-06 00:00:00+00:00
128,742.5,711.8266666666667,682.6642307692307,651.8234,,2023-02-07 00:00:00+00:00
129,754.3,717.6016666666666,687.4584615384616,654.1786,,2023-02-08 00:00:00+00:00
130,746.98,721.9958333333334,692.1203846153846,656.9964,,2023-02-09 00:00:00+00:00
