,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,133.26,,,,,2022-08-04 00:00:00+00:00
1,133.14,,,,,2022-08-05 00:00:00+00:00
2,132.92,,,,,2022-08-08 00:00:00+00:00
3,131.04,,,,,2022-08-09 00:00:00+00:00
4,134.21,,,,,2022-08-10 00:00:00+00:00
5,134.26,,,,,2022-08-11 00:00:00+00:00
6,137.31,,,,,2022-08-12 00:00:00+00:00
7,137.18,,,,,2022-08-15 00:00:00+00:00
8,137.45,,,,,2022-08-16 00:00:00+00:00
9,135.97,,,,,2022-08-17 00:00:00+00:00
10,137.03,,,,,2022-08-18 00:00:00+00:00
11,134.87,134.88666666666666,,,,2022-08-19 00:00:00+00:00
12,129.77,134.59583333333333,,,,2022-08-22 00:00:00+00:00
13,130.36,134.36416666666668,,,,2022-08-23 00:00:00+00:00
14,129.12,134.0475,,,,2022-08-24 00:00:00+00:00
15,132.41,134.16166666666666,,,,2022-08-25 00:00:00+00:00
16,126.77,133.54166666666666,,,,2022-08-26 00:00:00+00:00
17,126.24,132.87333333333333,,,,2022-08-29 00:00:00+00:00
18,126.36,131.96083333333334,,,,2022-08-30 00:00:00+00:00
19,126.21,131.04666666666665,,,,2022-08-31 00:00:00+00:00
20,124.72,129.98583333333332,,,,2022-09-01 00:00:00+00:00
21,123.89,128.97916666666666,,,,2022-09-02 00:00:00+00:00
22,123.1,127.81833333333333,,,,2022-09-06 00:00:00+00:00
23,126.47,127.11833333333334,,,,2022-09-07 00:00:00+00:00
24,127.16,126.90083333333335,,,,2022-09-08 00:00:00+00:00
25,129.04,126.79083333333334,130.77923076923076,,,2022-09-09 00:00:00+00:00
26,131.05,126.95166666666665,130.69423076923078,,,2022-09-12 00:00:00+00:00
27,126.33,126.445,130.4323076923077,,,2022-09-13 00:00:00+00:00
28,126.03,126.38333333333333,130.1673076923077,,,2022-09-14 00:00:00+00:00
29,124.28,126.22000000000001,129.90730769230768,,,2022-09-15 00:00:00+00:00
30,122.73,125.91749999999998,129.4657692307692,,,2022-09-16 00:00:00+00:00
31,123.36,125.68,129.04653846153846,,,2022-09-19 00:00:00+00:00
32,121.63,125.4225,128.44346153846155,,,2022-09-20 00:00:00+00:00
33,120.2,125.115,127.79038461538461,,,2022-09-21 00:00:00+00:00
34,116.52,124.56666666666666,126.98538461538462,,,2022-09-22 00:00:00+00:00
35,114.58,123.57583333333334,126.16269230769231,,,2022-09-23 00:00:00+00:00
36,113.39,122.42833333333333,125.25346153846155,,,2022-09-26 00:00:00+00:00
37,113.44,121.12833333333333,124.42923076923077,,,2022-09-27 00:00:00+00:00
38,115.22,119.80916666666667,123.86961538461539,,,2022-09-28 00:00:00+00:00
39,112.54,118.66000000000001,123.18423076923077,,,2022-09-29 00:00:00+00:00
40,110.36,117.35416666666667,122.46269230769232,,,2022-09-30 00:00:00+00:00
41,114.32,116.52416666666666,121.76692307692306,,,2022-10-03 00:00:00+00:00
42,118.53,116.17416666666666,121.44999999999999,,,2022-10-04 00:00:00+00:00
43,118.22,115.74583333333334,121.14153846153846,,,2022-10-05 00:00:00+00:00
44,118.08,115.45,120.82307692307691,,,2022-10-06 00:00:00+00:00
45,114.16,114.94666666666667,120.35961538461538,,,2022-10-07 00:00:00+00:00
46,111.67,114.5425,119.85769230769232,,,2022-10-10 00:00:00+00:00
47,109.92,114.15416666666665,119.32038461538461,,,2022-10-11 00:00:00+00:00
48,108.14,113.71666666666668,118.74499999999999,,,2022-10-12 00:00:00+00:00
49,111.46,113.55166666666666,118.1676923076923,124.3284,,2022-10-13 00:00:00+00:00
50,107.52,112.90999999999998,117.4123076923077,123.8136,,2022-10-14 00:00:00+00:00
51,111.91,112.8575,116.75346153846155,123.38900000000001,,2022-10-17 00:00:00+00:00
52,112.91,113.07000000000001,116.05576923076923,122.98880000000001,,2022-10-18 00:00:00+00:00
53,112.03,112.87916666666666,115.50576923076923,122.60860000000001,,2022-10-19 00:00:00+00:00
54,110.91,112.24416666666666,114.92423076923076,122.1426,,2022-10-20 00:00:00+00:00
55,114.89,111.96666666666665,114.56307692307693,121.7552,,2022-10-21 00:00:00+00:00
56,115.48,111.75,114.28423076923076,121.31859999999999,,2022-10-24 00:00:00+00:00
57,117.27,112.00916666666666,114.05000000000001,120.92040000000001,,2022-10-25 00:00:00+00:00
58,118.85,112.6075,113.94307692307692,120.5484,,2022-10-26 00:00:00+00:00
59,119.0,113.36416666666666,113.89692307692309,120.209,,2022-10-27 00:00:00+00:00
60,122.65,114.57333333333332,114.1326923076923,119.9214,,2022-10-28 00:00:00+00:00
61,122.23,115.47083333333335,114.42692307692307,119.66859999999998,,2022-10-31 00:00:00+00:00
62,123.44,116.79750000000001,114.81346153846152,119.542,,2022-11-01 00:00:00+00:00
63,113.64,116.94166666666666,114.82115384615386,119.20759999999999,,2022-11-02 00:00:00+00:00
64,112.95,116.945,114.73384615384614,118.8842,,2022-11-03 00:00:00+00:00
65,116.68,117.3325,114.89307692307692,118.5696,,2022-11-04 00:00:00+00:00
66,116.79,117.8225,115.1403846153846,118.37,,2022-11-07 00:00:00+00:00
67,117.15,118.01083333333334,115.24923076923076,118.1882,,2022-11-08 00:00:00+00:00
