,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,166.56,,,,,2022-08-04 00:00:00+00:00
1,166.13,,,,,2022-08-05 00:00:00+00:00
2,166.97,,,,,2022-08-08 00:00:00+00:00
3,165.12,,,,,2022-08-09 00:00:00+00:00
4,169.67,,,,,2022-08-10 00:00:00+00:00
5,169.6,,,,,2022-08-11 00:00:00+00:00
6,172.48,,,,,2022-08-12 00:00:00+00:00
7,173.39,,,,,2022-08-15 00:00:00+00:00
8,180.19,,,,,2022-08-16 00:00:00+00:00
9,175.34,,,,,2022-08-17 00:00:00+00:00
10,173.05,,,,,2022-08-18 00:00:00+00:00
11,167.04,170.46166666666667,,,,2022-08-19 00:00:00+00:00
12,161.96,170.07833333333335,,,,2022-08-22 00:00:00+00:00
13,161.97,169.73166666666665,,,,2022-08-23 00:00:00+00:00
14,163.13,169.41166666666666,,,,2022-08-24 00:00:00+00:00
15,167.5,169.60999999999999,,,,2022-08-25 00:00:00+00:00
16,160.62,168.85583333333332,,,,2022-08-26 00:00:00+00:00
17,158.69,167.9466666666667,,,,2022-08-29 00:00:00+00:00
18,160.78,166.97166666666666,,,,2022-08-30 00:00:00+00:00
19,160.34,165.88416666666666,,,,2022-08-31 00:00:00+00:00
20,164.84,164.605,,,,2022-09-01 00:00:00+00:00
21,164.6,163.71,,,,2022-09-02 00:00:00+00:00
22,163.58,162.92083333333332,,,,2022-09-06 00:00:00+00:00
23,170.79,163.23333333333332,,,,2022-09-07 00:00:00+00:00
24,171.9,164.06166666666667,,,,2022-09-08 00:00:00+00:00
25,173.65,165.035,167.30346153846156,,,2022-09-09 00:00:00+00:00
26,173.85,165.92833333333334,167.58384615384614,,,2022-09-12 00:00:00+00:00
27,166.24,165.82333333333335,167.58807692307693,,,2022-09-13 00:00:00+00:00
28,165.38,166.22,167.52692307692308,,,2022-09-14 00:00:00+00:00
29,165.01,166.74666666666664,167.52269230769232,,,2022-09-15 00:00:00+00:00
30,164.09,167.0225,167.30807692307692,,,2022-09-16 00:00:00+00:00
31,164.76,167.39083333333335,167.12192307692308,,,2022-09-19 00:00:00+00:00
32,160.03,166.99,166.64307692307693,,,2022-09-20 00:00:00+00:00
33,159.03,166.52583333333334,166.0907692307692,,,2022-09-21 00:00:00+00:00
34,152.96,165.64083333333335,165.04346153846154,,,2022-09-22 00:00:00+00:00
35,152.61,164.12583333333333,164.16923076923078,,,2022-09-23 00:00:00+00:00
36,148.71,162.19333333333333,163.23307692307694,,,2022-09-26 00:00:00+00:00
37,148.47,160.095,162.51884615384614,,,2022-09-27 00:00:00+00:00
38,155.87,158.59666666666666,162.28461538461536,,,2022-09-28 00:00:00+00:00
39,151.79,157.3925,161.89307692307693,,,2022-09-29 00:00:00+00:00
