,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,590.0,,,,,2022-08-04 00:00:00+00:00
1,590.26,,,,,2022-08-05 00:00:00+00:00
2,583.95,,,,,2022-08-08 00:00:00+00:00
3,580.87,,,,,2022-08-09 00:00:00+00:00
4,592.35,,,,,2022-08-10 00:00:00+00:00
5,592.54,,,,,2022-08-11 00:00:00+00:00
6,603.21,,,,,2022-08-12 00:00:00+00:00
7,604.49,,,,,2022-08-15 00:00:00+00:00
8,602.11,,,,,2022-08-16 00:00:00+00:00
9,596.04,,,,,2022-08-17 00:00:00+00:00
10,595.01,,,,,2022-08-18 00:00:00+00:00
11,588.55,593.2816666666666,,,,2022-08-19 00:00:00+00:00
12,576.11,592.1241666666666,,,,2022-08-22 00:00:00+00:00
13,572.97,590.6833333333333,,,,2022-08-23 00:00:00+00:00
14,573.15,589.7833333333333,,,,2022-08-24 00:00:00+00:00
15,585.47,590.1666666666666,,,,2022-08-25 00:00:00+00:00
16,563.71,587.78,,,,2022-08-26 00:00:00+00:00
17,556.69,584.7925,,,,2022-08-29 00:00:00+00:00
18,554.29,580.7158333333333,,,,2022-08-30 00:00:00+00:00
19,545.32,575.785,,,,2022-08-31 00:00:00+00:00
20,550.75,571.505,,,,2022-09-01 00:00:00+00:00
21,543.55,567.1308333333334,,,,2022-09-02 00:00:00+00:00
22,545.15,562.9758333333333,,,,2022-09-06 00:00:00+00:00
23,551.72,559.9066666666666,,,,2022-09-07 00:00:00+00:00
24,566.56,559.1108333333333,,,,2022-09-08 00:00:00+00:00
25,569.4,558.8133333333334,575.9315384615385,,,2022-09-09 00:00:00+00:00
26,579.19,559.3166666666667,575.5157692307693,,,2022-09-12 00:00:00+00:00
27,559.82,557.1791666666667,574.345,,,2022-09-13 00:00:00+00:00
28,558.13,556.7141666666666,573.3519230769232,,,2022-09-14 00:00:00+00:00
29,551.98,556.3216666666666,572.2407692307693,,,2022-09-15 00:00:00+00:00
30,541.28,555.2375,570.2765384615385,,,2022-09-16 00:00:00+00:00
31,539.67,554.7666666666667,568.243076923077,,,2022-09-19 00:00:00+00:00
32,532.16,553.2175,565.5103846153846,,,2022-09-20 00:00:00+00:00
33,525.69,551.7291666666666,562.4796153846154,,,2022-09-21 00:00:00+00:00
