,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,143.79,,,,,2022-08-04 00:00:00+00:00
1,144.56,,,,,2022-08-05 00:00:00+00:00
2,144.58,,,,,2022-08-08 00:00:00+00:00
3,145.58,,,,,2022-08-09 00:00:00+00:00
4,144.84,,,,,2022-08-10 00:00:00+00:00
5,143.61,,,,,2022-08-11 00:00:00+00:00
6,146.46,,,,,2022-08-12 00:00:00+00:00
7,146.69,,,,,2022-08-15 00:00:00+00:00
8,146.63,,,,,2022-08-16 00:00:00+00:00
9,145.55,,,,,2022-08-17 00:00:00+00:00
10,146.86,,,,,2022-08-18 00:00:00+00:00
11,146.37,145.46,,,,2022-08-19 00:00:00+00:00
12,144.58,145.52583333333334,,,,2022-08-22 00:00:00+00:00
13,143.86,145.4675,,,,2022-08-23 00:00:00+00:00
14,145.33,145.53,,,,2022-08-24 00:00:00+00:00
15,147.07,145.65416666666667,,,,2022-08-25 00:00:00+00:00
16,143.02,145.50250000000003,,,,2022-08-26 00:00:00+00:00
17,144.89,145.60916666666665,,,,2022-08-29 00:00:00+00:00
18,145.52,145.53083333333333,,,,2022-08-30 00:00:00+00:00
19,143.96,145.3033333333333,,,,2022-08-31 00:00:00+00:00
20,143.92,145.07750000000001,,,,2022-09-01 00:00:00+00:00
21,141.98,144.78,,,,2022-09-02 00:00:00+00:00
22,141.91,144.3675,,,,2022-09-06 00:00:00+00:00
23,145.5,144.29500000000002,,,,2022-09-07 00:00:00+00:00
24,145.365,144.36041666666668,,,,2022-09-08 00:00:00+00:00
25,145.7,144.51375,144.9278846153846,,,2022-09-09 00:00:00+00:00
26,145.15,144.49875,144.9801923076923,,,2022-09-12 00:00:00+00:00
27,137.74,143.72125,144.7178846153846,,,2022-09-13 00:00:00+00:00
28,141.93,143.63041666666666,144.61596153846156,,,2022-09-14 00:00:00+00:00
29,141.02,143.30791666666667,144.44057692307692,,,2022-09-15 00:00:00+00:00
30,139.95,142.84375,144.2525,,,2022-09-16 00:00:00+00:00
31,140.71,142.57291666666666,144.14096153846154,,,2022-09-19 00:00:00+00:00
32,139.64,142.21625,143.87865384615387,,,2022-09-20 00:00:00+00:00
33,136.77,141.78208333333333,143.4971153846154,,,2022-09-21 00:00:00+00:00
34,135.05,141.21041666666665,143.05173076923077,,,2022-09-22 00:00:00+00:00
35,132.33,140.11291666666668,142.54326923076923,,,2022-09-23 00:00:00+00:00
36,132.32,139.02583333333334,141.98403846153846,,,2022-09-26 00:00:00+00:00
37,132.68,137.94083333333336,141.4575,,,2022-09-27 00:00:00+00:00
38,135.52,137.13833333333335,141.10903846153846,,,2022-09-28 00:00:00+00:00
39,134.64,136.88,140.75442307692308,,,2022-09-29 00:00:00+00:00
40,134.17,136.23333333333332,140.3251923076923,,,2022-09-30 00:00:00+00:00
41,138.9,136.05666666666667,140.01096153846154,,,2022-10-03 00:00:00+00:00
42,142.54,136.2725,139.9925,,,2022-10-04 00:00:00+00:00
43,141.23,136.31583333333333,139.85173076923076,,,2022-10-05 00:00:00+00:00
44,139.42,136.29749999999999,139.61711538461537,,,2022-10-06 00:00:00+00:00
45,137.59,136.36583333333334,139.3721153846154,,,2022-10-07 00:00:00+00:00
46,137.73,136.58916666666667,139.13403846153847,,,2022-10-10 00:00:00+00:00
47,137.15,136.9908333333333,138.94826923076923,,,2022-10-11 00:00:00+00:00
48,132.94,137.0425,138.60326923076923,,,2022-10-12 00:00:00+00:00
49,133.08,137.07583333333332,138.12557692307695,141.3665,,2022-10-13 00:00:00+00:00
50,131.52,136.74249999999998,137.59307692307692,141.1211,,2022-10-14 00:00:00+00:00
51,133.84,136.67583333333334,137.13692307692307,140.9067,,2022-10-17 00:00:00+00:00
52,136.16,136.84166666666667,136.79115384615386,140.7383,,2022-10-18 00:00:00+00:00
53,135.74,136.57833333333332,136.71423076923077,140.54149999999998,,2022-10-19 00:00:00+00:00
54,136.02,136.035,136.48692307692306,140.3651,,2022-10-20 00:00:00+00:00
55,136.46,135.6375,136.31153846153845,140.2221,,2022-10-21 00:00:00+00:00
56,139.32,135.6291666666667,136.2873076923077,140.0793,,2022-10-24 00:00:00+00:00
57,140.63,135.8825,136.2842307692308,139.9581,,2022-10-25 00:00:00+00:00
58,140.84,136.14166666666668,136.33038461538462,139.84230000000002,,2022-10-26 00:00:00+00:00
59,140.63,136.43166666666667,136.47884615384615,139.7439,,2022-10-27 00:00:00+00:00
60,151.0,137.93666666666667,137.09230769230768,139.82670000000002,,2022-10-28 00:00:00+00:00
61,151.56,139.47666666666666,137.8319230769231,139.9305,,2022-10-31 00:00:00+00:00
62,152.28,141.20666666666668,138.5996153846154,140.0845,,2022-11-01 00:00:00+00:00
63,150.02,142.55499999999998,139.26653846153846,140.20770000000002,,2022-11-02 00:00:00+00:00
