,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,156.66,,,,,2022-08-04 00:00:00+00:00
1,157.31,,,,,2022-08-05 00:00:00+00:00
2,156.2,,,,,2022-08-08 00:00:00+00:00
3,152.94,,,,,2022-08-09 00:00:00+00:00
4,157.89,,,,,2022-08-10 00:00:00+00:00
5,158.6,,,,,2022-08-11 00:00:00+00:00
6,161.31,,,,,2022-08-12 00:00:00+00:00
7,160.46,,,,,2022-08-15 00:00:00+00:00
8,159.42,,,,,2022-08-16 00:00:00+00:00
9,160.77,,,,,2022-08-17 00:00:00+00:00
10,159.13,,,,,2022-08-18 00:00:00+00:00
11,156.46,158.09583333333333,,,,2022-08-19 00:00:00+00:00
12,154.32,157.90083333333334,,,,2022-08-22 00:00:00+00:00
13,153.48,157.58166666666668,,,,2022-08-23 00:00:00+00:00
14,154.5,157.44,,,,2022-08-24 00:00:00+00:00
15,156.0,157.69500000000002,,,,2022-08-25 00:00:00+00:00
16,151.77,157.185,,,,2022-08-26 00:00:00+00:00
17,151.77,156.61583333333334,,,,2022-08-29 00:00:00+00:00
18,150.17,155.6875,,,,2022-08-30 00:00:00+00:00
19,149.37,154.76333333333335,,,,2022-08-31 00:00:00+00:00
20,146.8,153.71166666666667,,,,2022-09-01 00:00:00+00:00
21,145.56,152.44416666666666,,,,2022-09-02 00:00:00+00:00
22,143.94,151.1783333333333,,,,2022-09-06 00:00:00+00:00
23,143.34,150.085,,,,2022-09-07 00:00:00+00:00
24,144.13,149.23583333333332,,,,2022-09-08 00:00:00+00:00
25,145.59,148.57833333333335,153.3803846153846,,,2022-09-09 00:00:00+00:00
26,145.04,147.79,152.93346153846153,,,2022-09-12 00:00:00+00:00
27,140.23,146.47583333333333,152.27653846153845,,,2022-09-13 00:00:00+00:00
28,141.47,145.61749999999998,151.71,,,2022-09-14 00:00:00+00:00
29,140.45,144.67416666666665,151.22961538461539,,,2022-09-15 00:00:00+00:00
30,140.74,143.88833333333335,150.57,,,2022-09-16 00:00:00+00:00
31,141.45,143.22833333333332,149.91038461538463,,,2022-09-19 00:00:00+00:00
32,140.73,142.7225,149.11884615384616,,,2022-09-20 00:00:00+00:00
33,137.58,142.0575,148.23884615384617,,,2022-09-21 00:00:00+00:00
34,139.05,141.65,147.45538461538462,,,2022-09-22 00:00:00+00:00
35,137.28,141.14499999999998,146.55192307692306,,,2022-09-23 00:00:00+00:00
36,135.62,140.43583333333333,145.64769230769232,,,2022-09-26 00:00:00+00:00
37,135.74,139.61499999999998,144.85076923076923,,,2022-09-27 00:00:00+00:00
38,136.89,138.93583333333333,144.1803846153846,,,2022-09-28 00:00:00+00:00
39,133.76,138.39666666666665,143.4219230769231,,,2022-09-29 00:00:00+00:00
40,130.29,137.465,142.49076923076925,,,2022-09-30 00:00:00+00:00
41,135.59,137.06,141.70576923076925,,,2022-10-03 00:00:00+00:00
42,139.85,136.98583333333332,141.24730769230771,,,2022-10-04 00:00:00+00:00
43,138.09,136.70583333333335,140.72115384615384,,,2022-10-05 00:00:00+00:00
44,136.17,136.32583333333332,140.18269230769232,,,2022-10-06 00:00:00+00:00
45,135.85,136.18166666666667,139.6626923076923,,,2022-10-07 00:00:00+00:00
46,134.86,135.8325,139.20346153846154,,,2022-10-10 00:00:00+00:00
47,135.06,135.6475,138.79961538461538,,,2022-10-11 00:00:00+00:00
48,135.0,135.59583333333333,138.45576923076922,,,2022-10-12 00:00:00+00:00
49,136.38,135.64916666666667,138.18807692307692,145.82119999999998,,2022-10-13 00:00:00+00:00
50,134.11,135.41750000000002,137.8026923076923,145.3702,,2022-10-14 00:00:00+00:00
51,136.16,135.61749999999998,137.44,144.94719999999998,,2022-10-17 00:00:00+00:00
52,134.26,135.94833333333332,137.02538461538464,144.5084,,2022-10-18 00:00:00+00:00
53,132.97,135.73,136.74615384615385,144.109,,2022-10-19 00:00:00+00:00
54,133.24,135.17916666666667,136.42961538461537,143.616,,2022-10-20 00:00:00+00:00
55,133.76,134.81833333333333,136.1723076923077,143.11919999999998,,2022-10-21 00:00:00+00:00
56,134.74,134.69916666666668,135.94153846153844,142.58780000000002,,2022-10-24 00:00:00+00:00
57,137.07,134.80083333333332,135.77307692307693,142.12,,2022-10-25 00:00:00+00:00
