,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,157.7,,,,,2022-08-04 00:00:00+00:00
1,158.96,,,,,2022-08-05 00:00:00+00:00
2,159.98,,,,,2022-08-08 00:00:00+00:00
3,162.92,,,,,2022-08-09 00:00:00+00:00
4,165.01,,,,,2022-08-10 00:00:00+00:00
5,168.81,,,,,2022-08-11 00:00:00+00:00
6,171.56,,,,,2022-08-12 00:00:00+00:00
7,172.16,,,,,2022-08-15 00:00:00+00:00
8,173.52,,,,,2022-08-16 00:00:00+00:00
9,173.96,,,,,2022-08-17 00:00:00+00:00
10,174.11,,,,,2022-08-18 00:00:00+00:00
11,172.64,167.61083333333332,,,,2022-08-19 00:00:00+00:00
12,169.14,168.56416666666667,,,,2022-08-22 00:00:00+00:00
13,168.29,169.34166666666667,,,,2022-08-23 00:00:00+00:00
14,168.49,170.05083333333332,,,,2022-08-24 00:00:00+00:00
15,168.98,170.55583333333334,,,,2022-08-25 00:00:00+00:00
16,166.84,170.70833333333334,,,,2022-08-26 00:00:00+00:00
17,165.36,170.42083333333335,,,,2022-08-29 00:00:00+00:00
18,163.46,169.7458333333333,,,,2022-08-30 00:00:00+00:00
19,161.64,168.86916666666667,,,,2022-08-31 00:00:00+00:00
20,163.3,168.0175,,,,2022-09-01 00:00:00+00:00
21,162.7,167.07916666666668,,,,2022-09-02 00:00:00+00:00
22,161.88,166.05999999999997,,,,2022-09-06 00:00:00+00:00
23,164.02,165.34166666666667,,,,2022-09-07 00:00:00+00:00
24,164.51,164.95583333333335,,,,2022-09-08 00:00:00+00:00
25,164.15,164.61083333333332,166.31115384615384,,,2022-09-09 00:00:00+00:00
26,165.33,164.3475,166.60461538461539,,,2022-09-12 00:00:00+00:00
27,162.22,163.78416666666666,166.73000000000002,,,2022-09-13 00:00:00+00:00
28,163.24,163.48416666666665,166.8553846153846,,,2022-09-14 00:00:00+00:00
29,164.16,163.38416666666666,166.9030769230769,,,2022-09-15 00:00:00+00:00
30,162.33,163.29,166.8,,,2022-09-16 00:00:00+00:00
31,164.29,163.51083333333335,166.62615384615384,,,2022-09-19 00:00:00+00:00
32,160.95,163.315,166.21807692307692,,,2022-09-20 00:00:00+00:00
33,157.06,162.845,165.63730769230767,,,2022-09-21 00:00:00+00:00
34,157.0,162.43833333333336,165.00192307692308,,,2022-09-22 00:00:00+00:00
