,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,308.633333,,,,,2022-08-04 00:00:00+00:00
1,288.17,,,,,2022-08-05 00:00:00+00:00
2,290.423333,,,,,2022-08-08 00:00:00+00:00
3,283.333333,,,,,2022-08-09 00:00:00+00:00
4,294.356666,,,,,2022-08-10 00:00:00+00:00
5,286.63,,,,,2022-08-11 00:00:00+00:00
6,300.03,,,,,2022-08-12 00:00:00+00:00
7,309.32,,,,,2022-08-15 00:00:00+00:00
8,306.563333,,,,,2022-08-16 00:00:00+00:00
9,303.996666,,,,,2022-08-17 00:00:00+00:00
10,302.87,,,,,2022-08-18 00:00:00+00:00
11,296.666666,297.5827775,,,,2022-08-19 00:00:00+00:00
12,289.913333,296.0227775,,,,2022-08-22 00:00:00+00:00
13,296.453333,296.71305525,,,,2022-08-23 00:00:00+00:00
14,297.096666,297.2691663333333,,,,2022-08-24 00:00:00+00:00
15,296.07,298.33055525000003,,,,2022-08-25 00:00:00+00:00
16,288.09,297.8083330833333,,,,2022-08-26 00:00:00+00:00
17,284.82,297.65749975,,,,2022-08-29 00:00:00+00:00
18,277.7,295.79666641666665,,,,2022-08-30 00:00:00+00:00
19,275.61,292.98749975,,,,2022-08-31 00:00:00+00:00
20,277.16,290.537222,,,,2022-09-01 00:00:00+00:00
21,270.21,287.7216665,,,,2022-09-02 00:00:00+00:00
22,274.42,285.35083316666663,,,,2022-09-06 00:00:00+00:00
23,283.7,284.2702776666667,,,,2022-09-07 00:00:00+00:00
24,289.26,284.21583325,,,,2022-09-08 00:00:00+00:00
25,299.68,284.48472216666664,291.1991023846154,,,2022-09-09 00:00:00+00:00
26,304.42,285.09499999999997,291.0370511153846,,,2022-09-12 00:00:00+00:00
27,292.13,284.76666666666665,291.1893588076923,,,2022-09-13 00:00:00+00:00
28,302.61,285.9766666666667,291.6580767692308,,,2022-09-14 00:00:00+00:00
29,303.75,287.5541666666667,292.4433331923077,,,2022-09-15 00:00:00+00:00
30,303.35,289.69166666666666,292.7892306538462,,,2022-09-16 00:00:00+00:00
31,309.07,292.48,293.6523075769231,,,2022-09-19 00:00:00+00:00
32,308.73,295.11083333333335,293.9869229615385,,,2022-09-20 00:00:00+00:00
33,300.8,297.66,293.6592306538462,,,2022-09-21 00:00:00+00:00
34,288.59,298.84083333333336,292.9679486153846,,,2022-09-22 00:00:00+00:00
35,275.33,298.1433333333334,291.8653845384615,,,2022-09-23 00:00:00+00:00
36,276.01,297.0391666666667,290.8323076153846,,,2022-09-26 00:00:00+00:00
37,282.94,295.64416666666665,290.3043589230769,,,2022-09-27 00:00:00+00:00
38,287.81,294.26,290.2234615,,,2022-09-28 00:00:00+00:00
39,268.21,292.26666666666665,289.13717946153844,,,2022-09-29 00:00:00+00:00
40,265.25,289.1533333333333,287.91230769230765,,,2022-09-30 00:00:00+00:00
41,242.4,284.0408333333333,285.8480769230769,,,2022-10-03 00:00:00+00:00
42,249.44,279.54833333333335,284.36153846153843,,,2022-10-04 00:00:00+00:00
43,240.81,273.85999999999996,282.6688461538462,,,2022-10-05 00:00:00+00:00
44,238.13,267.97666666666663,281.1469230769231,,,2022-10-06 00:00:00+00:00
45,223.07,261.49916666666667,279.12615384615384,,,2022-10-07 00:00:00+00:00
46,222.96,256.03,277.04153846153844,,,2022-10-10 00:00:00+00:00
47,216.5,251.12749999999997,274.97576923076923,,,2022-10-11 00:00:00+00:00
48,217.24,246.23,272.77653846153845,,,2022-10-12 00:00:00+00:00
49,221.72,241.12833333333333,270.3926923076923,280.24893324,,2022-10-13 00:00:00+00:00
50,204.99,234.22666666666666,267.1515384615385,278.17606658,,2022-10-14 00:00:00+00:00
51,219.35,230.155,264.0619230769231,276.79966658,,2022-10-17 00:00:00+00:00
52,220.19,226.4,260.8223076923077,275.39499992,,2022-10-18 00:00:00+00:00
53,222.04,224.70333333333335,258.1265384615385,274.16913326,,2022-10-19 00:00:00+00:00
54,207.28,221.19000000000003,254.46,272.42759994,,2022-10-20 00:00:00+00:00
55,214.44,218.99249999999998,251.02500000000003,270.98379994,,2022-10-21 00:00:00+00:00
56,211.25,216.75249999999997,247.4826923076923,269.20819994,,2022-10-24 00:00:00+00:00
57,222.415,216.69791666666666,244.14980769230772,267.47009994,,2022-10-25 00:00:00+00:00
58,224.64,216.83791666666664,240.9155769230769,265.83163328,,2022-10-26 00:00:00+00:00
59,225.09,217.55375000000004,238.0036538461538,264.25349996,,2022-10-27 00:00:00+00:00
60,228.52,218.49375,235.69326923076926,262.76649996,,2022-10-28 00:00:00+00:00
61,227.54,218.97875000000002,233.8551923076923,261.38396664,,2022-10-31 00:00:00+00:00
62,227.82,220.88125,232.00173076923076,260.14209998,,2022-11-01 00:00:00+00:00
63,214.98,220.51708333333332,229.38788461538462,258.51263332,,2022-11-02 00:00:00+00:00
64,215.31,220.11041666666665,226.59942307692307,256.8769,,2022-11-03 00:00:00+00:00
65,207.47,218.89625,224.26326923076925,255.1049,,2022-11-04 00:00:00+00:00
66,197.08,218.04625,221.64134615384617,253.2847,,2022-11-07 00:00:00+00:00
67,191.3,216.11791666666667,219.67596153846154,251.4143,,2022-11-08 00:00:00+00:00
68,177.59,213.31291666666664,216.91250000000002,249.41209999999998,,2022-11-09 00:00:00+00:00
69,190.72,210.67166666666665,214.9859615384615,247.7143,,2022-11-10 00:00:00+00:00
70,195.97,208.2825,213.3644230769231,246.09050000000002,,2022-11-11 00:00:00+00:00
71,190.95,205.4375,212.12903846153844,244.50529999999998,,2022-11-14 00:00:00+00:00
