,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,154.87,,,,,2022-08-04 00:00:00+00:00
1,154.34,,,,,2022-08-05 00:00:00+00:00
2,155.99,,,,,2022-08-08 00:00:00+00:00
3,154.55,,,,,2022-08-09 00:00:00+00:00
4,157.96,,,,,2022-08-10 00:00:00+00:00
5,158.64,,,,,2022-08-11 00:00:00+00:00
6,163.56,,,,,2022-08-12 00:00:00+00:00
7,165.37,,,,,2022-08-15 00:00:00+00:00
8,167.26,,,,,2022-08-16 00:00:00+00:00
9,166.42,,,,,2022-08-17 00:00:00+00:00
10,166.96,,,,,2022-08-18 00:00:00+00:00
11,163.71,160.8025,,,,2022-08-19 00:00:00+00:00
12,159.63,161.19916666666668,,,,2022-08-22 00:00:00+00:00
13,157.86,161.4925,,,,2022-08-23 00:00:00+00:00
14,158.06,161.665,,,,2022-08-24 00:00:00+00:00
15,161.23,162.22166666666666,,,,2022-08-25 00:00:00+00:00
16,155.57,162.0225,,,,2022-08-26 00:00:00+00:00
17,155.85,161.79,,,,2022-08-29 00:00:00+00:00
18,154.84,161.06333333333333,,,,2022-08-30 00:00:00+00:00
19,154.07,160.12166666666667,,,,2022-08-31 00:00:00+00:00
20,156.82,159.25166666666667,,,,2022-09-01 00:00:00+00:00
21,155.43,158.33583333333334,,,,2022-09-02 00:00:00+00:00
22,156.52,157.46583333333334,,,,2022-09-06 00:00:00+00:00
23,161.14,157.25166666666667,,,,2022-09-07 00:00:00+00:00
24,163.29,157.55666666666667,,,,2022-09-08 00:00:00+00:00
25,163.83,158.05416666666665,159.37576923076924,,,2022-09-09 00:00:00+00:00
26,165.38,158.66416666666666,159.78,,,2022-09-12 00:00:00+00:00
27,160.67,158.61749999999998,160.02346153846153,,,2022-09-13 00:00:00+00:00
28,160.17,159.00083333333333,160.18423076923077,,,2022-09-14 00:00:00+00:00
29,159.22,159.28166666666667,160.36384615384617,,,2022-09-15 00:00:00+00:00
30,155.69,159.3525,160.27653846153845,,,2022-09-16 00:00:00+00:00
31,159.12,159.77333333333334,160.29500000000002,,,2022-09-19 00:00:00+00:00
32,154.74,159.6,159.95576923076925,,,2022-09-20 00:00:00+00:00
33,151.93,159.30833333333334,159.43884615384616,,,2022-09-21 00:00:00+00:00
34,147.65,158.56916666666666,158.6846153846154,,,2022-09-22 00:00:00+00:00
35,147.58,157.43916666666667,157.96,,,2022-09-23 00:00:00+00:00
36,146.08,156.005,157.15692307692308,,,2022-09-26 00:00:00+00:00
37,144.86,154.42416666666668,156.43192307692308,,,2022-09-27 00:00:00+00:00
38,149.44,153.09583333333333,156.04,,,2022-09-28 00:00:00+00:00
39,145.96,151.87,155.5823076923077,,,2022-09-29 00:00:00+00:00
40,144.81,150.59,155.0726923076923,,,2022-09-30 00:00:00+00:00
41,150.99,149.90416666666667,154.67884615384617,,,2022-10-03 00:00:00+00:00
42,154.66,149.81833333333333,154.64384615384617,,,2022-10-04 00:00:00+00:00
43,153.71,149.3675,154.56153846153848,,,2022-10-05 00:00:00+00:00
44,151.57,149.10333333333332,154.43576923076924,,,2022-10-06 00:00:00+00:00
45,146.36,148.63916666666668,154.13923076923078,,,2022-10-07 00:00:00+00:00
