,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,184.91,,,,,2022-08-04 00:00:00+00:00
1,184.3,,,,,2022-08-05 00:00:00+00:00
2,182.8,,,,,2022-08-08 00:00:00+00:00
3,177.71,,,,,2022-08-09 00:00:00+00:00
4,183.12,,,,,2022-08-10 00:00:00+00:00
5,182.06,,,,,2022-08-11 00:00:00+00:00
6,185.38,,,,,2022-08-12 00:00:00+00:00
7,185.4,,,,,2022-08-15 00:00:00+00:00
8,183.36,,,,,2022-08-16 00:00:00+00:00
9,176.71,,,,,2022-08-17 00:00:00+00:00
10,178.46,,,,,2022-08-18 00:00:00+00:00
11,176.45,181.72166666666666,,,,2022-08-19 00:00:00+00:00
12,171.44,180.59916666666666,,,,2022-08-22 00:00:00+00:00
13,172.52,179.61749999999998,,,,2022-08-23 00:00:00+00:00
14,172.19,178.73333333333335,,,,2022-08-24 00:00:00+00:00
15,177.31,178.70000000000002,,,,2022-08-25 00:00:00+00:00
16,169.49,177.56416666666667,,,,2022-08-26 00:00:00+00:00
17,167.94,176.38750000000002,,,,2022-08-29 00:00:00+00:00
18,166.74,174.83416666666668,,,,2022-08-30 00:00:00+00:00
19,165.21,173.15166666666667,,,,2022-08-31 00:00:00+00:00
20,166.16,171.71833333333333,,,,2022-09-01 00:00:00+00:00
21,163.0,170.57583333333335,,,,2022-09-02 00:00:00+00:00
22,163.1,169.29583333333332,,,,2022-09-06 00:00:00+00:00
23,165.82,168.41,,,,2022-09-07 00:00:00+00:00
24,168.41,168.1575,,,,2022-09-08 00:00:00+00:00
25,170.74,168.00916666666666,174.64346153846157,,,2022-09-09 00:00:00+00:00
26,170.58,167.87500000000003,174.0923076923077,,,2022-09-12 00:00:00+00:00
27,162.65,166.65333333333334,173.2596153846154,,,2022-09-13 00:00:00+00:00
28,165.26,166.30083333333332,172.585,,,2022-09-14 00:00:00+00:00
29,162.67,165.86166666666668,172.00653846153847,,,2022-09-15 00:00:00+00:00
30,165.26,165.73833333333332,171.31961538461536,,,2022-09-16 00:00:00+00:00
31,166.25,165.82500000000002,170.71153846153845,,,2022-09-19 00:00:00+00:00
32,166.06,165.81666666666666,169.96846153846155,,,2022-09-20 00:00:00+00:00
33,163.3,165.84166666666667,169.11846153846153,,,2022-09-21 00:00:00+00:00
34,162.62,165.80166666666668,168.32076923076923,,,2022-09-22 00:00:00+00:00
35,161.29,165.42416666666665,167.7276923076923,,,2022-09-23 00:00:00+00:00
36,160.46,164.76166666666668,167.03538461538463,,,2022-09-26 00:00:00+00:00
37,160.71,163.92583333333334,166.43,,,2022-09-27 00:00:00+00:00
38,162.8,163.2775,166.0976923076923,,,2022-09-28 00:00:00+00:00
39,158.45,162.9275,165.55653846153848,,,2022-09-29 00:00:00+00:00
40,154.78,162.05416666666667,164.88692307692307,,,2022-09-30 00:00:00+00:00
41,159.84,161.81833333333333,164.215,,,2022-10-03 00:00:00+00:00
42,165.15,161.80916666666667,164.04807692307693,,,2022-10-04 00:00:00+00:00
43,167.8,161.93833333333333,164.0426923076923,,,2022-10-05 00:00:00+00:00
44,166.54,161.97833333333332,164.035,,,2022-10-06 00:00:00+00:00
45,159.28,161.64333333333335,163.80692307692308,,,2022-10-07 00:00:00+00:00
46,156.79,161.1575,163.4465384615385,,,2022-10-10 00:00:00+00:00
47,153.45,160.50416666666666,163.07923076923078,,,2022-10-11 00:00:00+00:00
48,151.55,159.76166666666666,162.63500000000002,,,2022-10-12 00:00:00+00:00
49,154.34,159.23083333333332,162.19346153846152,168.37220000000002,,2022-10-13 00:00:00+00:00
50,148.34,158.02583333333334,161.42153846153846,167.6408,,2022-10-14 00:00:00+00:00
51,150.99,157.40416666666667,160.66192307692307,166.97460000000004,,2022-10-17 00:00:00+00:00
52,151.51,157.13166666666666,159.92846153846156,166.3488,,2022-10-18 00:00:00+00:00
53,152.65,156.5325,159.54384615384618,165.84759999999997,,2022-10-19 00:00:00+00:00
54,153.72,155.58,159.09999999999997,165.25959999999998,,2022-10-20 00:00:00+00:00
55,159.72,154.90666666666667,158.9865384615385,164.81280000000004,,2022-10-21 00:00:00+00:00
