,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,31.85,,,,,2022-08-04 00:00:00+00:00
1,32.01,,,,,2022-08-05 00:00:00+00:00
2,31.85,,,,,2022-08-08 00:00:00+00:00
3,31.06,,,,,2022-08-09 00:00:00+00:00
4,32.8,,,,,2022-08-10 00:00:00+00:00
5,32.24,,,,,2022-08-11 00:00:00+00:00
6,32.47,,,,,2022-08-12 00:00:00+00:00
7,32.49,,,,,2022-08-15 00:00:00+00:00
8,32.38,,,,,2022-08-16 00:00:00+00:00
9,30.72,,,,,2022-08-17 00:00:00+00:00
10,30.15,,,,,2022-08-18 00:00:00+00:00
11,29.01,31.58583333333333,,,,2022-08-19 00:00:00+00:00
12,28.0,31.264999999999997,,,,2022-08-22 00:00:00+00:00
13,27.81,30.914999999999996,,,,2022-08-23 00:00:00+00:00
14,28.71,30.653333333333336,,,,2022-08-24 00:00:00+00:00
15,29.62,30.533333333333335,,,,2022-08-25 00:00:00+00:00
16,28.58,30.18166666666667,,,,2022-08-26 00:00:00+00:00
17,28.74,29.89,,,,2022-08-29 00:00:00+00:00
18,28.71,29.576666666666668,,,,2022-08-30 00:00:00+00:00
19,28.76,29.265833333333333,,,,2022-08-31 00:00:00+00:00
20,28.92,28.977500000000003,,,,2022-09-01 00:00:00+00:00
21,29.05,28.838333333333335,,,,2022-09-02 00:00:00+00:00
22,28.89,28.733333333333334,,,,2022-09-06 00:00:00+00:00
23,30.03,28.81833333333334,,,,2022-09-07 00:00:00+00:00
24,30.68,29.041666666666668,,,,2022-09-08 00:00:00+00:00
25,31.78,29.372500000000002,30.281153846153845,,,2022-09-09 00:00:00+00:00
26,32.5,29.688333333333333,30.306153846153848,,,2022-09-12 00:00:00+00:00
27,31.32,29.83,30.279615384615383,,,2022-09-13 00:00:00+00:00
28,33.05,30.2025,30.32576923076923,,,2022-09-14 00:00:00+00:00
29,33.13,30.56833333333333,30.405384615384612,,,2022-09-15 00:00:00+00:00
30,31.93,30.83666666666667,30.37192307692308,,,2022-09-16 00:00:00+00:00
31,31.49,31.06416666666667,30.343076923076925,,,2022-09-19 00:00:00+00:00
32,31.49,31.278333333333336,30.305384615384618,,,2022-09-20 00:00:00+00:00
