,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,533.75,,,,,2022-08-04 00:00:00+00:00
1,535.06,,,,,2022-08-05 00:00:00+00:00
2,536.6,,,,,2022-08-08 00:00:00+00:00
3,537.26,,,,,2022-08-09 00:00:00+00:00
4,537.72,,,,,2022-08-10 00:00:00+00:00
5,532.86,,,,,2022-08-11 00:00:00+00:00
6,543.7,,,,,2022-08-12 00:00:00+00:00
7,544.64,,,,,2022-08-15 00:00:00+00:00
8,546.12,,,,,2022-08-16 00:00:00+00:00
9,545.0,,,,,2022-08-17 00:00:00+00:00
10,545.22,,,,,2022-08-18 00:00:00+00:00
11,548.32,540.5208333333334,,,,2022-08-19 00:00:00+00:00
12,544.57,541.4225,,,,2022-08-22 00:00:00+00:00
13,535.8,541.4841666666667,,,,2022-08-23 00:00:00+00:00
14,536.46,541.4725,,,,2022-08-24 00:00:00+00:00
15,541.57,541.8316666666667,,,,2022-08-25 00:00:00+00:00
16,529.25,541.1258333333334,,,,2022-08-26 00:00:00+00:00
17,529.77,540.8683333333333,,,,2022-08-29 00:00:00+00:00
18,522.84,539.13,,,,2022-08-30 00:00:00+00:00
19,519.33,537.0208333333334,,,,2022-08-31 00:00:00+00:00
20,524.0,535.1775,,,,2022-09-01 00:00:00+00:00
21,516.35,532.7900000000001,,,,2022-09-02 00:00:00+00:00
22,517.68,530.495,,,,2022-09-06 00:00:00+00:00
23,521.68,528.275,,,,2022-09-07 00:00:00+00:00
24,527.51,526.8533333333334,,,,2022-09-08 00:00:00+00:00
25,524.34,525.8983333333334,533.7461538461538,,,2022-09-09 00:00:00+00:00
26,531.25,525.4641666666668,533.65,,,2022-09-12 00:00:00+00:00
27,513.96,523.1633333333333,532.8384615384616,,,2022-09-13 00:00:00+00:00
28,509.77,521.54,531.8065384615385,,,2022-09-14 00:00:00+00:00
29,522.91,520.9683333333334,531.2546153846154,,,2022-09-15 00:00:00+00:00
30,521.02,520.8166666666667,530.6123076923077,,,2022-09-16 00:00:00+00:00
31,523.55,521.1683333333334,530.2542307692308,,,2022-09-19 00:00:00+00:00
32,522.8,521.0683333333333,529.4503846153846,,,2022-09-20 00:00:00+00:00
33,512.08,520.7125,528.1980769230769,,,2022-09-21 00:00:00+00:00
34,517.46,520.6941666666667,527.0957692307692,,,2022-09-22 00:00:00+00:00
35,513.61,520.0216666666666,525.8884615384616,,,2022-09-23 00:00:00+00:00
36,508.36,518.4258333333333,524.4707692307692,,,2022-09-26 00:00:00+00:00
37,508.37,517.0949999999999,522.9342307692308,,,2022-09-27 00:00:00+00:00
38,513.94,515.6525,521.7561538461539,,,2022-09-28 00:00:00+00:00
39,508.83,515.225,520.7188461538461,,,2022-09-29 00:00:00+00:00
40,505.04,514.8308333333333,519.5103846153846,,,2022-09-30 00:00:00+00:00
41,515.51,514.2141666666668,518.5080769230769,,,2022-10-03 00:00:00+00:00
42,523.17,514.3933333333333,518.2742307692308,,,2022-10-04 00:00:00+00:00
43,527.07,514.6866666666667,518.1703846153846,,,2022-10-05 00:00:00+00:00
44,519.13,514.3808333333334,518.0276923076923,,,2022-10-06 00:00:00+00:00
45,504.85,513.7783333333333,517.4707692307692,,,2022-10-07 00:00:00+00:00
46,498.86,512.2283333333334,516.5038461538462,,,2022-10-10 00:00:00+00:00
47,499.81,511.0783333333333,515.8676923076923,,,2022-10-11 00:00:00+00:00
48,499.96,510.37833333333333,515.1861538461538,,,2022-10-12 00:00:00+00:00
49,509.91,510.50666666666666,514.7334615384615,524.1723999999999,,2022-10-13 00:00:00+00:00
50,513.13,510.4391666666666,514.1803846153846,523.76,,2022-10-14 00:00:00+00:00
51,521.88,511.52666666666664,514.0857692307693,523.4964,,2022-10-17 00:00:00+00:00
52,522.21,512.9575,513.738076923077,523.2086,,2022-10-18 00:00:00+00:00
53,520.32,513.3583333333332,513.9826923076923,522.8698,,2022-10-19 00:00:00+00:00
54,520.88,513.1674999999999,514.41,522.533,,2022-10-20 00:00:00+00:00
55,533.73,513.7225,514.8261538461538,522.5504,,2022-10-21 00:00:00+00:00
56,541.6,515.5949999999999,515.6176923076923,522.5083999999999,,2022-10-24 00:00:00+00:00
57,540.22,518.5425,516.2588461538461,522.42,,2022-10-25 00:00:00+00:00
58,543.17,522.235,517.0423076923078,522.3610000000001,,2022-10-26 00:00:00+00:00
59,541.8,525.7341666666667,518.1853846153846,522.297,,2022-10-27 00:00:00+00:00
60,551.24,530.0075,519.4846153846154,522.4173999999999,,2022-10-28 00:00:00+00:00
61,555.15,533.7775,521.0823076923077,522.554,,2022-10-31 00:00:00+00:00
62,547.31,536.6258333333334,522.5803846153847,522.6088000000001,,2022-11-01 00:00:00+00:00
63,543.43,538.4216666666667,523.9288461538462,522.7614,,2022-11-02 00:00:00+00:00
64,543.61,540.205,525.0699999999999,522.9043999999999,,2022-11-03 00:00:00+00:00
65,538.17,541.6925,526.1984615384615,522.8364,,2022-11-04 00:00:00+00:00
66,545.02,543.7041666666667,527.7361538461538,523.1518,,2022-11-07 00:00:00+00:00
67,553.05,545.3141666666667,529.1800000000001,523.6174,,2022-11-08 00:00:00+00:00
68,540.66,545.2358333333333,529.8526923076923,523.9738,,2022-11-09 00:00:00+00:00
69,544.17,545.5649999999999,530.5103846153846,524.4706,,2022-11-10 00:00:00+00:00
70,522.08,543.8075,530.6238461538462,524.4322,,2022-11-11 00:00:00+00:00
71,513.75,541.4699999999999,530.9661538461539,524.3802000000001,,2022-11-14 00:00:00+00:00
72,503.01,537.4508333333333,531.1257692307693,524.0868,,2022-11-15 00:00:00+00:00
73,511.52,533.815,531.5761538461538,523.8836,,2022-11-16 00:00:00+00:00
74,515.31,531.1483333333333,532.1665384615384,523.6396,,2022-11-17 00:00:00+00:00
75,530.0,530.0291666666666,532.9392307692307,523.7528,,2022-11-18 00:00:00+00:00
