,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,227.35,,,,,2022-08-04 00:00:00+00:00
1,228.62,,,,,2022-08-05 00:00:00+00:00
2,227.86,,,,,2022-08-08 00:00:00+00:00
3,228.49,,,,,2022-08-09 00:00:00+00:00
4,235.76,,,,,2022-08-10 00:00:00+00:00
5,239.25,,,,,2022-08-11 00:00:00+00:00
6,239.95,,,,,2022-08-12 00:00:00+00:00
7,238.17,,,,,2022-08-15 00:00:00+00:00
8,241.35,,,,,2022-08-16 00:00:00+00:00
9,240.89,,,,,2022-08-17 00:00:00+00:00
10,241.91,,,,,2022-08-18 00:00:00+00:00
11,238.52,235.67666666666665,,,,2022-08-19 00:00:00+00:00
12,237.51,236.52333333333334,,,,2022-08-22 00:00:00+00:00
13,237.64,237.275,,,,2022-08-23 00:00:00+00:00
14,238.29,238.14416666666668,,,,2022-08-24 00:00:00+00:00
15,239.07,239.02583333333334,,,,2022-08-25 00:00:00+00:00
16,231.27,238.65166666666667,,,,2022-08-26 00:00:00+00:00
17,232.41,238.08166666666668,,,,2022-08-29 00:00:00+00:00
18,225.24,236.8558333333333,,,,2022-08-30 00:00:00+00:00
19,224.51,235.7175,,,,2022-08-31 00:00:00+00:00
20,226.06,234.4433333333333,,,,2022-09-01 00:00:00+00:00
21,223.94,233.03083333333333,,,,2022-09-02 00:00:00+00:00
22,227.98,231.87,,,,2022-09-06 00:00:00+00:00
23,228.79,231.05916666666667,,,,2022-09-07 00:00:00+00:00
24,230.34,230.46166666666667,,,,2022-09-08 00:00:00+00:00
25,231.88,229.98166666666665,233.19423076923078,,,2022-09-09 00:00:00+00:00
26,234.16,229.63750000000002,233.45615384615382,,,2022-09-12 00:00:00+00:00
27,226.29,228.5725,233.36653846153845,,,2022-09-13 00:00:00+00:00
28,217.95,227.46249999999998,232.98538461538462,,,2022-09-14 00:00:00+00:00
29,218.36,226.29166666666666,232.59576923076924,,,2022-09-15 00:00:00+00:00
30,212.0,225.18833333333336,231.68192307692306,,,2022-09-16 00:00:00+00:00
31,216.2,224.4958333333333,230.79538461538462,,,2022-09-19 00:00:00+00:00
32,213.27,223.42999999999998,229.76923076923077,,,2022-09-20 00:00:00+00:00
33,211.89,222.42583333333334,228.75846153846155,,,2022-09-21 00:00:00+00:00
34,209.17,220.85833333333332,227.52076923076922,,,2022-09-22 00:00:00+00:00
35,203.97,218.79,226.10076923076923,,,2022-09-23 00:00:00+00:00
36,200.86,216.33333333333334,224.52192307692306,,,2022-09-26 00:00:00+00:00
37,197.25,213.44750000000002,222.9346153846154,,,2022-09-27 00:00:00+00:00
38,201.83,210.75333333333333,221.56230769230768,,,2022-09-28 00:00:00+00:00
39,199.2,208.4958333333333,220.08384615384617,,,2022-09-29 00:00:00+00:00
40,194.82,206.56833333333336,218.41192307692305,,,2022-09-30 00:00:00+00:00
41,200.26,205.05999999999997,216.91923076923075,,,2022-10-03 00:00:00+00:00
42,205.38,204.50833333333333,215.92346153846154,,,2022-10-04 00:00:00+00:00
43,200.62,203.21,214.70076923076925,,,2022-10-05 00:00:00+00:00
44,198.21,201.955,213.66115384615384,,,2022-10-06 00:00:00+00:00
45,195.62,200.59916666666663,212.55,,,2022-10-07 00:00:00+00:00
46,194.05,199.33916666666667,211.31884615384615,,,2022-10-10 00:00:00+00:00
47,192.64,198.39499999999998,210.11500000000004,,,2022-10-11 00:00:00+00:00
48,192.12,197.66666666666666,208.73576923076922,,,2022-10-12 00:00:00+00:00
49,196.74,197.62416666666664,207.50307692307692,219.91819999999998,,2022-10-13 00:00:00+00:00
50,193.79,196.95416666666665,206.09730769230768,219.247,,2022-10-14 00:00:00+00:00
51,198.6,196.90416666666667,204.81730769230768,218.6466,,2022-10-17 00:00:00+00:00
52,201.64,197.4725,203.56653846153844,218.12220000000002,,2022-10-18 00:00:00+00:00
53,200.06,197.45583333333335,202.55769230769232,217.55360000000002,,2022-10-19 00:00:00+00:00
54,186.45,195.87833333333333,201.34615384615384,216.56740000000002,,2022-10-20 00:00:00+00:00
55,190.53,195.03750000000002,200.27576923076924,215.593,,2022-10-21 00:00:00+00:00
56,193.49,194.64416666666668,199.56384615384619,214.66379999999998,,2022-10-24 00:00:00+00:00
57,194.61,194.55999999999997,198.73346153846154,213.7926,,2022-10-25 00:00:00+00:00
58,195.78,194.70416666666665,198.06076923076924,212.88120000000004,,2022-10-26 00:00:00+00:00
59,196.04,194.98750000000004,197.45115384615383,211.9842,,2022-10-27 00:00:00+00:00
60,198.65,195.53166666666664,197.04653846153846,211.11899999999997,,2022-10-28 00:00:00+00:00
61,197.14,195.56500000000003,196.78384615384616,210.29139999999998,,2022-10-31 00:00:00+00:00
62,196.82,195.8175,196.62846153846155,209.47760000000002,,2022-11-01 00:00:00+00:00
63,192.53,195.3116666666667,196.44692307692307,208.57539999999997,,2022-11-02 00:00:00+00:00
64,193.19,194.6075,196.11461538461538,207.67340000000002,,2022-11-03 00:00:00+00:00
65,196.7,194.3275,196.01846153846157,206.82600000000002,,2022-11-04 00:00:00+00:00
66,196.3,195.14833333333334,196.07538461538462,206.1266,,2022-11-07 00:00:00+00:00
67,204.01,196.27166666666665,196.2196153846154,205.5586,,2022-11-08 00:00:00+00:00
68,203.41,197.09833333333336,196.14384615384614,205.122,,2022-11-09 00:00:00+00:00
69,212.99,198.63,196.6196153846154,204.8916,,2022-11-10 00:00:00+00:00
70,217.5,200.43999999999997,197.36153846153846,204.72039999999998,,2022-11-11 00:00:00+00:00
71,216.95,202.18249999999998,198.18192307692308,204.5806,,2022-11-14 00:00:00+00:00
72,210.66,203.18333333333337,198.82076923076923,204.23420000000002,,2022-11-15 00:00:00+00:00
73,212.27,204.44416666666666,199.5757692307692,203.90380000000002,,2022-11-16 00:00:00+00:00
74,209.82,205.5275,200.25653846153847,203.4934,,2022-11-17 00:00:00+00:00
75,210.58,207.03166666666667,200.78884615384615,203.06740000000002,,2022-11-18 00:00:00+00:00
76,212.27,208.62166666666667,201.49961538461537,202.62960000000004,,2022-11-21 00:00:00+00:00
77,213.2,209.99666666666667,202.06115384615384,202.3678,,2022-11-22 00:00:00+00:00
78,212.52,211.34833333333333,202.47961538461539,202.2592,,2022-11-23 00:00:00+00:00
79,213.33,212.125,202.98999999999998,202.1586,,2022-11-25 00:00:00+00:00
80,208.52,212.55083333333334,203.83884615384616,202.08900000000003,,2022-11-28 00:00:00+00:00
81,212.77,212.5325,204.69423076923078,202.0204,,2022-11-29 00:00:00+00:00
82,217.43,212.52666666666667,205.61499999999998,202.10359999999997,,2022-11-30 00:00:00+00:00
83,215.93,212.4416666666667,206.435,202.18439999999998,,2022-12-01 00:00:00+00:00
84,214.73,212.78083333333333,207.16384615384615,202.2956,,2022-12-02 00:00:00+00:00
85,211.06,212.67999999999998,207.74153846153848,202.43740000000003,,2022-12-05 00:00:00+00:00
86,211.14,212.79,208.22192307692305,202.643,,2022-12-06 00:00:00+00:00
87,212.22,212.92666666666665,208.8019230769231,202.9424,,2022-12-07 00:00:00+00:00
88,213.03,212.98999999999998,209.4253846153846,203.16639999999998,,2022-12-08 00:00:00+00:00
89,211.35,212.83583333333334,210.14923076923077,203.40939999999998,,2022-12-09 00:00:00+00:00
90,215.83,213.11166666666668,211.02,203.8296,,2022-12-12 00:00:00+00:00
91,218.02,213.50250000000003,211.83999999999997,204.1848,,2022-12-13 00:00:00+00:00
92,217.58,214.25750000000002,212.65846153846158,204.42880000000002,,2022-12-14 00:00:00+00:00
93,212.31,214.21916666666667,212.9776923076923,204.6626,,2022-12-15 00:00:00+00:00
94,210.21,213.61749999999998,213.23923076923077,204.9026,,2022-12-16 00:00:00+00:00
95,206.39,212.8225,212.98538461538462,205.118,,2022-12-19 00:00:00+00:00
96,205.41,212.04583333333335,212.52038461538464,205.3452,,2022-12-20 00:00:00+00:00
97,208.42,211.82583333333332,212.19230769230768,205.66080000000002,,2022-12-21 00:00:00+00:00
98,208.66,211.6191666666667,212.1153846153846,205.9916,,2022-12-22 00:00:00+00:00
99,209.91,211.42666666666665,212.0246153846154,206.255,,2022-12-23 00:00:00+00:00
100,210.32,211.20083333333335,212.04384615384612,206.58559999999997,,2022-12-27 00:00:00+00:00
101,206.87,210.8275,211.90115384615385,206.75100000000003,,2022-12-28 00:00:00+00:00
102,209.22,210.27666666666664,211.78384615384616,206.90259999999998,,2022-12-29 00:00:00+00:00
103,207.07,209.36416666666665,211.54807692307696,207.0428,,2022-12-30 00:00:00+00:00
104,207.58,208.53083333333333,211.35807692307694,207.46539999999996,,2023-01-03 00:00:00+00:00
105,209.24,208.275,211.20076923076925,207.8396,,2023-01-04 00:00:00+00:00
106,203.08,207.68083333333334,210.99153846153845,208.0314,,2023-01-05 00:00:00+00:00
107,212.01,208.14916666666667,210.96230769230772,208.37939999999998,,2023-01-06 00:00:00+00:00
108,211.46,208.6533333333333,210.7326923076923,208.69299999999998,,2023-01-09 00:00:00+00:00
109,212.28,208.97500000000002,210.59230769230768,209.0178,,2023-01-10 00:00:00+00:00
110,214.26,209.44166666666663,210.57423076923078,209.33,,2023-01-11 00:00:00+00:00
111,214.69,209.84,210.71384615384613,209.68099999999998,,2023-01-12 00:00:00+00:00
112,213.23,210.08249999999998,210.79423076923078,210.0092,,2023-01-13 00:00:00+00:00
113,214.31,210.7025,210.87461538461537,210.44480000000004,,2023-01-17 00:00:00+00:00
114,209.48,210.72416666666666,210.73807692307693,210.7706,,2023-01-18 00:00:00+00:00
115,205.5,210.59333333333333,210.51307692307694,210.9466,,2023-01-19 00:00:00+00:00
116,208.66,210.68333333333337,210.2373076923077,211.1938,,2023-01-20 00:00:00+00:00
117,210.13,210.75749999999996,209.9338461538462,211.31619999999998,,2023-01-23 00:00:00+00:00
118,201.0,210.58416666666665,209.29615384615383,211.268,,2023-01-24 00:00:00+00:00
119,200.12,209.59333333333336,208.8273076923077,211.0106,,2023-01-25 00:00:00+00:00
120,201.48,208.76166666666668,208.49153846153845,210.6902,,2023-01-26 00:00:00+00:00
121,202.39,207.9375,208.3376923076923,210.39899999999997,,2023-01-27 00:00:00+00:00
122,200.2,206.76583333333335,208.13730769230767,210.1898,,2023-01-30 00:00:00+00:00
123,204.19,205.89083333333335,207.9746153846154,210.0282,,2023-01-31 00:00:00+00:00
124,207.93,205.44916666666666,207.94653846153844,209.99040000000002,,2023-02-01 00:00:00+00:00
125,213.41,205.3741666666667,208.08115384615382,210.047,,2023-02-02 00:00:00+00:00
126,210.29,205.4416666666667,208.07999999999998,210.0074,,2023-02-03 00:00:00+00:00
127,208.96,205.73000000000002,208.16038461538457,209.92260000000002,,2023-02-06 00:00:00+00:00
128,209.04,205.76166666666666,208.15346153846153,209.85299999999998,,2023-02-07 00:00:00+00:00
129,207.14,205.51250000000002,208.1561538461538,209.72920000000002,,2023-02-08 00:00:00+00:00
