,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,194.52,,,,,2022-08-04 00:00:00+00:00
1,196.76,,,,,2022-08-05 00:00:00+00:00
2,196.09,,,,,2022-08-08 00:00:00+00:00
3,196.65,,,,,2022-08-09 00:00:00+00:00
4,202.37,,,,,2022-08-10 00:00:00+00:00
5,204.43,,,,,2022-08-11 00:00:00+00:00
6,204.89,,,,,2022-08-12 00:00:00+00:00
7,205.88,,,,,2022-08-15 00:00:00+00:00
8,206.35,,,,,2022-08-16 00:00:00+00:00
9,204.98,,,,,2022-08-17 00:00:00+00:00
10,208.05,,,,,2022-08-18 00:00:00+00:00
11,208.43,202.45000000000002,,,,2022-08-19 00:00:00+00:00
12,206.4,203.44000000000003,,,,2022-08-22 00:00:00+00:00
13,205.27,204.14916666666667,,,,2022-08-23 00:00:00+00:00
14,203.04,204.72833333333335,,,,2022-08-24 00:00:00+00:00
15,205.0,205.42416666666668,,,,2022-08-25 00:00:00+00:00
16,198.93,205.13750000000002,,,,2022-08-26 00:00:00+00:00
17,197.27,204.54083333333332,,,,2022-08-29 00:00:00+00:00
18,195.05,203.72083333333333,,,,2022-08-30 00:00:00+00:00
19,194.51,202.7733333333333,,,,2022-08-31 00:00:00+00:00
20,196.61,201.96166666666667,,,,2022-09-01 00:00:00+00:00
21,196.05,201.2175,,,,2022-09-02 00:00:00+00:00
22,195.96,200.21000000000004,,,,2022-09-06 00:00:00+00:00
23,196.29,199.19833333333335,,,,2022-09-07 00:00:00+00:00
24,196.13,198.34249999999997,,,,2022-09-08 00:00:00+00:00
25,198.69,197.79416666666665,200.56153846153848,,,2022-09-09 00:00:00+00:00
26,200.17,197.55499999999998,200.77884615384616,,,2022-09-12 00:00:00+00:00
27,192.71,196.53083333333333,200.62307692307695,,,2022-09-13 00:00:00+00:00
28,190.96,195.86666666666667,200.42576923076922,,,2022-09-14 00:00:00+00:00
29,185.0,194.84416666666667,199.9776923076923,,,2022-09-15 00:00:00+00:00
30,176.71,193.31583333333333,198.99076923076922,,,2022-09-16 00:00:00+00:00
31,180.03,192.1091666666667,198.05230769230772,,,2022-09-19 00:00:00+00:00
32,175.68,190.365,196.92884615384614,,,2022-09-20 00:00:00+00:00
33,173.83,188.51333333333332,195.69615384615386,,,2022-09-21 00:00:00+00:00
34,167.86,186.17166666666665,194.21576923076924,,,2022-09-22 00:00:00+00:00
35,164.33,183.50833333333335,192.6523076923077,,,2022-09-23 00:00:00+00:00
36,161.75,180.64333333333335,190.87153846153845,,,2022-09-26 00:00:00+00:00
37,164.77,177.8166666666667,189.19230769230774,,,2022-09-27 00:00:00+00:00
38,167.12,175.0625,187.68153846153848,,,2022-09-28 00:00:00+00:00
39,165.32,172.78,186.145,,,2022-09-29 00:00:00+00:00
40,161.54,170.32833333333335,184.54884615384617,,,2022-09-30 00:00:00+00:00
41,163.09,168.5025,182.9369230769231,,,2022-10-03 00:00:00+00:00
42,168.89,167.85083333333333,181.78153846153845,,,2022-10-04 00:00:00+00:00
43,167.93,166.8425,180.6530769230769,,,2022-10-05 00:00:00+00:00
44,165.6,166.0025,179.52038461538464,,,2022-10-06 00:00:00+00:00
45,159.14,164.77833333333334,178.16,,,2022-10-07 00:00:00+00:00
46,159.74,164.10166666666666,176.7419230769231,,,2022-10-10 00:00:00+00:00
47,159.41,163.69166666666666,175.33269230769233,,,2022-10-11 00:00:00+00:00
48,159.48,163.5025,173.92961538461537,,,2022-10-12 00:00:00+00:00
49,163.66,163.41,172.67461538461538,186.1864,,2022-10-13 00:00:00+00:00
50,161.68,162.95666666666665,171.3496153846154,185.5296,,2022-10-14 00:00:00+00:00
51,164.72,162.90666666666667,170.0430769230769,184.88879999999997,,2022-10-17 00:00:00+00:00
52,166.99,163.36083333333332,168.76692307692306,184.3068,,2022-10-18 00:00:00+00:00
53,165.79,163.58583333333334,167.73153846153843,183.68959999999998,,2022-10-19 00:00:00+00:00
