,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,33.89,,,,,2022-08-04 00:00:00+00:00
1,34.205,,,,,2022-08-05 00:00:00+00:00
2,34.7,,,,,2022-08-08 00:00:00+00:00
3,33.69,,,,,2022-08-09 00:00:00+00:00
4,34.415,,,,,2022-08-10 00:00:00+00:00
5,34.275,,,,,2022-08-11 00:00:00+00:00
6,34.03,,,,,2022-08-12 00:00:00+00:00
7,33.275,,,,,2022-08-15 00:00:00+00:00
8,33.35,,,,,2022-08-16 00:00:00+00:00
9,31.91,,,,,2022-08-17 00:00:00+00:00
10,32.455,,,,,2022-08-18 00:00:00+00:00
11,31.205,33.449999999999996,,,,2022-08-19 00:00:00+00:00
12,31.105,33.21791666666667,,,,2022-08-22 00:00:00+00:00
13,32.045,33.03791666666667,,,,2022-08-23 00:00:00+00:00
14,36.67,33.20208333333333,,,,2022-08-24 00:00:00+00:00
15,36.78,33.459583333333335,,,,2022-08-25 00:00:00+00:00
16,35.34,33.53666666666667,,,,2022-08-26 00:00:00+00:00
17,38.775,33.91166666666667,,,,2022-08-29 00:00:00+00:00
18,38.955,34.32208333333333,,,,2022-08-30 00:00:00+00:00
19,38.8,34.7825,,,,2022-08-31 00:00:00+00:00
20,36.73,35.064166666666665,,,,2022-09-01 00:00:00+00:00
21,36.605,35.455416666666665,,,,2022-09-02 00:00:00+00:00
22,37.97,35.915,,,,2022-09-06 00:00:00+00:00
23,38.455,36.51916666666667,,,,2022-09-07 00:00:00+00:00
24,40.2,37.27708333333333,,,,2022-09-08 00:00:00+00:00
25,40.285,37.96375,35.38903846153846,,,2022-09-09 00:00:00+00:00
26,39.95,38.23708333333333,35.622115384615384,,,2022-09-12 00:00:00+00:00
27,38.13,38.349583333333335,35.77307692307692,,,2022-09-13 00:00:00+00:00
28,38.995,38.65416666666667,35.93826923076923,,,2022-09-14 00:00:00+00:00
29,37.12,38.51625,36.0701923076923,,,2022-09-15 00:00:00+00:00
30,36.38,38.30166666666667,36.14576923076923,,,2022-09-16 00:00:00+00:00
31,36.535,38.11291666666666,36.23269230769231,,,2022-09-19 00:00:00+00:00
32,35.61,38.01958333333334,36.293461538461536,,,2022-09-20 00:00:00+00:00
33,34.615,37.85375,36.345,,,2022-09-21 00:00:00+00:00
34,33.72,37.499583333333334,36.35923076923076,,,2022-09-22 00:00:00+00:00
35,31.28,36.901666666666664,36.335,,,2022-09-23 00:00:00+00:00
36,30.92,36.12833333333334,36.275961538461544,,,2022-09-26 00:00:00+00:00
37,32.65,35.49208333333333,36.331538461538464,,,2022-09-27 00:00:00+00:00
38,33.94,34.99125,36.440576923076925,,,2022-09-28 00:00:00+00:00
39,32.675,34.53666666666667,36.464807692307694,,,2022-09-29 00:00:00+00:00
40,32.5,33.995416666666664,36.30442307692307,,,2022-09-30 00:00:00+00:00
41,33.765,33.71583333333333,36.18846153846154,,,2022-10-03 00:00:00+00:00
42,35.215,33.61875,36.183653846153845,,,2022-10-04 00:00:00+00:00
43,35.19,33.50666666666667,36.04576923076923,,,2022-10-05 00:00:00+00:00
44,33.945,33.367916666666666,35.85307692307692,,,2022-10-06 00:00:00+00:00
45,33.45,33.270833333333336,35.64730769230769,,,2022-10-07 00:00:00+00:00
46,31.435,33.080416666666665,35.44365384615384,,,2022-10-10 00:00:00+00:00
47,31.875,33.13,35.261730769230766,,,2022-10-11 00:00:00+00:00
48,31.925,33.21375,35.02923076923077,,,2022-10-12 00:00:00+00:00
49,33.095,33.25083333333333,34.823076923076925,34.9006,,2022-10-13 00:00:00+00:00
50,31.425,33.04125,34.48557692307692,34.851299999999995,,2022-10-14 00:00:00+00:00
51,32.99,33.0675,34.205,34.827,,2022-10-17 00:00:00+00:00
52,33.15,33.12166666666666,33.94346153846154,34.796,,2022-10-18 00:00:00+00:00
53,32.745,33.03666666666667,33.736346153846156,34.7771,,2022-10-19 00:00:00+00:00
54,32.775,32.833333333333336,33.497115384615384,34.744299999999996,,2022-10-20 00:00:00+00:00
55,34.055,32.73875,33.37923076923077,34.739900000000006,,2022-10-21 00:00:00+00:00
56,33.395,32.69291666666667,33.26442307692308,34.7272,,2022-10-24 00:00:00+00:00
57,34.365,32.76916666666667,33.18096153846154,34.749,,2022-10-25 00:00:00+00:00
58,35.225,33.085,33.16615384615385,34.786500000000004,,2022-10-26 00:00:00+00:00
