,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,104.33,,,,,2022-08-04 00:00:00+00:00
1,104.99,,,,,2022-08-05 00:00:00+00:00
2,106.39,,,,,2022-08-08 00:00:00+00:00
3,110.67,,,,,2022-08-09 00:00:00+00:00
4,111.76,,,,,2022-08-10 00:00:00+00:00
5,114.09,,,,,2022-08-11 00:00:00+00:00
6,115.19,,,,,2022-08-12 00:00:00+00:00
7,111.95,,,,,2022-08-15 00:00:00+00:00
8,113.31,,,,,2022-08-16 00:00:00+00:00
9,117.75,,,,,2022-08-17 00:00:00+00:00
10,118.79,,,,,2022-08-18 00:00:00+00:00
11,118.55,112.31416666666667,,,,2022-08-19 00:00:00+00:00
12,119.13,113.54750000000001,,,,2022-08-22 00:00:00+00:00
13,122.11,114.97416666666668,,,,2022-08-23 00:00:00+00:00
14,122.12,116.28500000000001,,,,2022-08-24 00:00:00+00:00
15,123.36,117.34249999999999,,,,2022-08-25 00:00:00+00:00
16,121.88,118.18583333333333,,,,2022-08-26 00:00:00+00:00
17,123.42,118.96333333333332,,,,2022-08-29 00:00:00+00:00
18,118.03,119.19999999999999,,,,2022-08-30 00:00:00+00:00
19,117.12,119.63083333333333,,,,2022-08-31 00:00:00+00:00
20,110.64,119.40833333333332,,,,2022-09-01 00:00:00+00:00
21,113.82,119.08083333333333,,,,2022-09-02 00:00:00+00:00
22,112.78,118.58,,,,2022-09-06 00:00:00+00:00
23,112.62,118.08583333333333,,,,2022-09-07 00:00:00+00:00
24,111.93,117.48583333333333,,,,2022-09-08 00:00:00+00:00
25,113.32,116.75333333333333,115.00192307692308,,,2022-09-09 00:00:00+00:00
26,114.25,116.09749999999998,115.38346153846155,,,2022-09-12 00:00:00+00:00
27,111.33,115.09500000000001,115.6273076923077,,,2022-09-13 00:00:00+00:00
28,109.59,114.07083333333334,115.7503846153846,,,2022-09-14 00:00:00+00:00
29,105.16,112.54916666666668,115.53846153846153,,,2022-09-15 00:00:00+00:00
30,104.46,111.41833333333334,115.25769230769232,,,2022-09-16 00:00:00+00:00
31,104.67,110.38083333333333,114.89538461538463,,,2022-09-19 00:00:00+00:00
32,107.42,110.11250000000001,114.59653846153846,,,2022-09-20 00:00:00+00:00
33,105.53,109.42166666666667,114.34961538461539,,,2022-09-21 00:00:00+00:00
34,107.59,108.98916666666666,114.12961538461539,,,2022-09-22 00:00:00+00:00
35,100.57,107.98500000000001,113.46884615384616,,,2022-09-23 00:00:00+00:00
36,97.89,106.815,112.66500000000002,,,2022-09-26 00:00:00+00:00
37,101.17,105.80250000000001,111.99653846153845,,,2022-09-27 00:00:00+00:00
38,108.8,105.34833333333334,111.59923076923077,,,2022-09-28 00:00:00+00:00
39,107.24,105.0075,111.02730769230767,,,2022-09-29 00:00:00+00:00
40,106.85,104.77916666666665,110.44,,,2022-09-30 00:00:00+00:00
41,112.31,105.375,110.015,,,2022-10-03 00:00:00+00:00
42,117.58,106.46833333333335,109.84961538461539,,,2022-10-04 00:00:00+00:00
43,118.09,107.58666666666666,109.64461538461539,,,2022-10-05 00:00:00+00:00
44,119.22,108.57,109.6903846153846,,,2022-10-06 00:00:00+00:00
45,113.78,109.2575,109.56192307692308,,,2022-10-07 00:00:00+00:00
46,110.86,109.53000000000002,109.57038461538461,,,2022-10-10 00:00:00+00:00
47,109.69,110.28999999999998,109.41153846153846,,,2022-10-11 00:00:00+00:00
48,115.2,111.7325,109.50461538461539,,,2022-10-12 00:00:00+00:00
49,120.86,113.37333333333333,109.82153846153845,112.4032,,2022-10-13 00:00:00+00:00
50,114.12,113.81666666666666,109.90576923076924,112.59899999999999,,2022-10-14 00:00:00+00:00
51,115.5,114.505,109.98961538461539,112.8092,,2022-10-17 00:00:00+00:00
52,117.7,115.40916666666668,110.12230769230769,113.0354,,2022-10-18 00:00:00+00:00
53,123.96,116.38,110.60807692307692,113.3012,,2022-10-19 00:00:00+00:00
54,124.44,116.95166666666667,111.17923076923078,113.5548,,2022-10-20 00:00:00+00:00
55,127.74,117.75583333333333,112.0476923076923,113.82780000000001,,2022-10-21 00:00:00+00:00
56,129.22,118.58916666666666,113.0,114.1084,,2022-10-24 00:00:00+00:00
57,126.8,119.67416666666666,113.85115384615384,114.40540000000001,,2022-10-25 00:00:00+00:00
58,126.74,120.99749999999999,114.59423076923078,114.67399999999999,,2022-10-26 00:00:00+00:00
59,128.27,122.54583333333335,115.46884615384616,114.88439999999999,,2022-10-27 00:00:00+00:00
60,125.98,123.44416666666666,116.17615384615384,115.0282,,2022-10-28 00:00:00+00:00
61,125.55,123.835,117.13692307692307,115.1682,,2022-10-31 00:00:00+00:00
62,130.0,125.15833333333335,118.37192307692307,115.38560000000001,,2022-11-01 00:00:00+00:00
63,125.83,126.01916666666666,119.32038461538461,115.46,,2022-11-02 00:00:00+00:00
64,129.71,127.02,120.12461538461538,115.6118,,2022-11-03 00:00:00+00:00
65,128.72,127.41666666666667,120.95076923076924,115.719,,2022-11-04 00:00:00+00:00
66,131.78,128.02833333333334,121.90961538461536,115.917,,2022-11-07 00:00:00+00:00
67,132.25,128.40416666666667,122.67653846153846,116.09360000000001,,2022-11-08 00:00:00+00:00
