,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,274.85,,,,,2022-08-04 00:00:00+00:00
1,288.03,,,,,2022-08-05 00:00:00+00:00
2,293.95,,,,,2022-08-08 00:00:00+00:00
3,298.83,,,,,2022-08-09 00:00:00+00:00
4,295.77,,,,,2022-08-10 00:00:00+00:00
5,292.16,,,,,2022-08-11 00:00:00+00:00
6,294.52,,,,,2022-08-12 00:00:00+00:00
7,305.53,,,,,2022-08-15 00:00:00+00:00
8,303.0,,,,,2022-08-16 00:00:00+00:00
9,299.23,,,,,2022-08-17 00:00:00+00:00
10,294.29,,,,,2022-08-18 00:00:00+00:00
11,299.04,294.93333333333334,,,,2022-08-19 00:00:00+00:00
12,293.84,296.5158333333333,,,,2022-08-22 00:00:00+00:00
13,286.25,296.3675,,,,2022-08-23 00:00:00+00:00
14,291.03,296.12416666666667,,,,2022-08-24 00:00:00+00:00
15,291.22,295.49,,,,2022-08-25 00:00:00+00:00
16,281.68,294.31583333333333,,,,2022-08-26 00:00:00+00:00
17,281.6,293.43583333333333,,,,2022-08-29 00:00:00+00:00
18,281.36,292.33916666666664,,,,2022-08-30 00:00:00+00:00
19,281.76,290.35833333333335,,,,2022-08-31 00:00:00+00:00
20,290.2,289.2916666666667,,,,2022-09-01 00:00:00+00:00
21,281.04,287.7758333333333,,,,2022-09-02 00:00:00+00:00
22,279.18,286.5166666666667,,,,2022-09-06 00:00:00+00:00
23,284.44,285.3,,,,2022-09-07 00:00:00+00:00
24,288.99,284.8958333333333,,,,2022-09-08 00:00:00+00:00
25,292.11,285.38416666666666,290.15,,,2022-09-09 00:00:00+00:00
26,293.48,285.5883333333333,290.8665384615384,,,2022-09-12 00:00:00+00:00
27,280.67,284.7091666666667,290.58346153846156,,,2022-09-13 00:00:00+00:00
28,284.86,284.9741666666667,290.2338461538462,,,2022-09-14 00:00:00+00:00
29,287.67,285.47999999999996,289.8046153846154,,,2022-09-15 00:00:00+00:00
30,289.71,286.17583333333334,289.57153846153847,,,2022-09-16 00:00:00+00:00
31,285.14,286.4575,289.3015384615385,,,2022-09-19 00:00:00+00:00
32,286.94,286.18583333333333,289.01,,,2022-09-20 00:00:00+00:00
33,280.4,286.1325,288.04346153846154,,,2022-09-21 00:00:00+00:00
34,286.34,286.7291666666667,287.4026923076923,,,2022-09-22 00:00:00+00:00
35,283.45,286.64666666666665,286.7957692307692,,,2022-09-23 00:00:00+00:00
36,276.78,285.62916666666666,286.1223076923077,,,2022-09-26 00:00:00+00:00
37,284.74,285.015,285.5723076923077,,,2022-09-27 00:00:00+00:00
38,292.41,284.9258333333333,285.51730769230767,,,2022-09-28 00:00:00+00:00
39,292.8,285.93666666666667,285.7692307692308,,,2022-09-29 00:00:00+00:00
40,289.54,286.32666666666665,285.7119230769231,,,2022-09-30 00:00:00+00:00
