,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,125.57,,,,,2022-08-04 00:00:00+00:00
1,126.58,,,,,2022-08-05 00:00:00+00:00
2,127.61,,,,,2022-08-08 00:00:00+00:00
3,128.87,,,,,2022-08-09 00:00:00+00:00
4,129.14,,,,,2022-08-10 00:00:00+00:00
5,129.82,,,,,2022-08-11 00:00:00+00:00
6,132.22,,,,,2022-08-12 00:00:00+00:00
7,132.6,,,,,2022-08-15 00:00:00+00:00
8,139.37,,,,,2022-08-16 00:00:00+00:00
9,139.52,,,,,2022-08-17 00:00:00+00:00
10,139.07,,,,,2022-08-18 00:00:00+00:00
11,137.02,132.2825,,,,2022-08-19 00:00:00+00:00
12,134.57,133.0325,,,,2022-08-22 00:00:00+00:00
13,134.0,133.65083333333334,,,,2022-08-23 00:00:00+00:00
14,134.97,134.26416666666668,,,,2022-08-24 00:00:00+00:00
15,135.87,134.8475,,,,2022-08-25 00:00:00+00:00
16,131.6,135.0525,,,,2022-08-26 00:00:00+00:00
17,132.88,135.3075,,,,2022-08-29 00:00:00+00:00
18,132.48,135.32916666666668,,,,2022-08-30 00:00:00+00:00
19,132.55,135.325,,,,2022-08-31 00:00:00+00:00
20,134.48,134.9175,,,,2022-09-01 00:00:00+00:00
21,133.0,134.37416666666667,,,,2022-09-02 00:00:00+00:00
22,132.34,133.81333333333333,,,,2022-09-06 00:00:00+00:00
23,135.74,133.70666666666665,,,,2022-09-07 00:00:00+00:00
24,136.43,133.86166666666665,,,,2022-09-08 00:00:00+00:00
25,136.84,134.09833333333333,133.27461538461537,,,2022-09-09 00:00:00+00:00
26,138.07,134.35666666666665,133.7553846153846,,,2022-09-12 00:00:00+00:00
27,135.22,134.3025,134.0876923076923,,,2022-09-13 00:00:00+00:00
28,134.92,134.57916666666668,134.36884615384616,,,2022-09-14 00:00:00+00:00
29,133.47,134.62833333333333,134.54576923076922,,,2022-09-15 00:00:00+00:00
30,133.19,134.6875,134.70153846153846,,,2022-09-16 00:00:00+00:00
31,134.33,134.83583333333334,134.875,,,2022-09-19 00:00:00+00:00
32,133.55,134.75833333333333,134.92615384615385,,,2022-09-20 00:00:00+00:00
33,134.77,134.90583333333333,135.0096153846154,,,2022-09-21 00:00:00+00:00
34,133.39,134.99333333333334,134.7796153846154,,,2022-09-22 00:00:00+00:00
35,130.06,134.52,134.41576923076923,,,2022-09-23 00:00:00+00:00
36,131.31,134.09333333333333,134.1173076923077,,,2022-09-26 00:00:00+00:00
37,130.95,133.6025,133.88384615384615,,,2022-09-27 00:00:00+00:00
38,133.11,133.18916666666667,133.8276923076923,,,2022-09-28 00:00:00+00:00
39,132.25,132.94166666666666,133.76038461538462,,,2022-09-29 00:00:00+00:00
40,129.7,132.5066666666667,133.55769230769232,,,2022-09-30 00:00:00+00:00
41,132.53,132.42833333333334,133.42923076923077,,,2022-10-03 00:00:00+00:00
42,134.25,132.51666666666668,133.53115384615384,,,2022-10-04 00:00:00+00:00
43,132.92,132.39916666666667,133.53269230769232,,,2022-10-05 00:00:00+00:00
44,131.68,132.2433333333333,133.50192307692308,,,2022-10-06 00:00:00+00:00
45,128.56,131.72583333333333,133.34846153846155,,,2022-10-07 00:00:00+00:00
46,129.32,131.38666666666668,133.15,,,2022-10-10 00:00:00+00:00
47,132.67,131.60416666666666,133.1373076923077,,,2022-10-11 00:00:00+00:00
48,131.17,131.5925,133.09230769230768,,,2022-10-12 00:00:00+00:00
49,132.28,131.70333333333335,132.95923076923077,132.97619999999998,,2022-10-13 00:00:00+00:00
50,130.43,131.48,132.72846153846152,133.0734,,2022-10-14 00:00:00+00:00
51,131.37,131.40666666666667,132.51807692307693,133.1692,,2022-10-17 00:00:00+00:00
52,134.14,131.77666666666667,132.3669230769231,133.2998,,2022-10-18 00:00:00+00:00
53,133.76,131.87916666666666,132.31076923076924,133.3976,,2022-10-19 00:00:00+00:00
54,134.09,131.8658333333333,132.27884615384616,133.4966,,2022-10-20 00:00:00+00:00
55,136.8,132.18916666666667,132.40692307692308,133.6362,,2022-10-21 00:00:00+00:00
56,139.41,132.83333333333334,132.64615384615385,133.78,,2022-10-24 00:00:00+00:00
57,140.07,133.7925,132.8669230769231,133.92940000000002,,2022-10-25 00:00:00+00:00
58,141.14,134.7775,133.15884615384616,133.9648,,2022-10-26 00:00:00+00:00
59,140.73,135.44916666666668,133.38807692307694,133.989,,2022-10-27 00:00:00+00:00
60,142.51,136.39416666666668,133.73884615384614,134.05780000000001,,2022-10-28 00:00:00+00:00
61,142.33,137.23166666666665,134.21076923076922,134.164,,2022-10-31 00:00:00+00:00
62,141.69,138.17,134.60999999999999,134.3064,,2022-11-01 00:00:00+00:00
63,140.75,138.95166666666668,134.98692307692306,134.4414,,2022-11-02 00:00:00+00:00
64,140.72,139.5,135.2796153846154,134.5564,,2022-11-03 00:00:00+00:00
65,140.97,140.10083333333333,135.61499999999998,134.6584,,2022-11-04 00:00:00+00:00
66,142.45,140.79749999999999,136.10538461538462,134.8754,,2022-11-07 00:00:00+00:00
67,142.79,141.29666666666665,136.5,135.0736,,2022-11-08 00:00:00+00:00
68,139.47,141.30166666666665,136.70076923076923,135.2134,,2022-11-09 00:00:00+00:00
69,142.36,141.4925,137.06384615384616,135.40959999999998,,2022-11-10 00:00:00+00:00
70,142.58,141.61249999999998,137.4830769230769,135.5716,,2022-11-11 00:00:00+00:00
71,138.39,141.4175,137.86115384615385,135.67940000000002,,2022-11-14 00:00:00+00:00
72,147.44,141.82833333333332,138.55807692307692,135.9814,,2022-11-15 00:00:00+00:00
73,148.5,142.3425,139.16692307692307,136.2366,,2022-11-16 00:00:00+00:00
74,148.0,142.8683333333333,139.81423076923076,136.468,,2022-11-17 00:00:00+00:00
75,150.23,143.65833333333333,140.5046153846154,136.7358,,2022-11-18 00:00:00+00:00
76,151.15,144.5275,141.30153846153846,136.9974,,2022-11-21 00:00:00+00:00
77,151.69,145.42083333333335,142.08307692307693,137.3268,,2022-11-22 00:00:00+00:00
78,152.42,146.25166666666667,142.78615384615384,137.6768,,2022-11-23 00:00:00+00:00
79,153.07,147.10833333333335,143.52884615384616,138.0688,,2022-11-25 00:00:00+00:00
80,153.51,148.27833333333334,144.27576923076924,138.47519999999997,,2022-11-28 00:00:00+00:00
81,152.97,149.1625,144.8976923076923,138.84799999999998,,2022-11-29 00:00:00+00:00
82,152.42,149.9825,145.39807692307693,139.22539999999998,,2022-11-30 00:00:00+00:00
83,153.37,151.23083333333332,145.90961538461536,139.5974,,2022-12-01 00:00:00+00:00
84,153.22,151.7125,146.37423076923076,139.994,,2022-12-02 00:00:00+00:00
85,151.65,151.975,146.79423076923075,140.4258,,2022-12-05 00:00:00+00:00
86,149.89,152.13250000000002,147.07807692307694,140.7974,,2022-12-06 00:00:00+00:00
87,149.11,152.03916666666666,147.33884615384613,141.1606,,2022-12-07 00:00:00+00:00
88,148.78,151.84166666666667,147.61153846153846,141.47400000000002,,2022-12-08 00:00:00+00:00
89,145.31,151.30999999999997,147.78692307692307,141.7352,,2022-12-09 00:00:00+00:00
90,148.02,150.94333333333336,148.0676923076923,142.1016,,2022-12-12 00:00:00+00:00
91,147.49,150.47833333333332,148.31846153846155,142.4008,,2022-12-13 00:00:00+00:00
92,146.67,149.90833333333333,148.48076923076923,142.6492,,2022-12-14 00:00:00+00:00
93,145.36,149.27416666666667,148.57961538461538,142.898,,2022-12-15 00:00:00+00:00
94,142.75,148.46833333333333,148.70576923076922,143.11939999999998,,2022-12-16 00:00:00+00:00
95,142.8,147.5875,148.7226923076923,143.4042,,2022-12-19 00:00:00+00:00
96,144.05,146.82333333333335,148.77923076923076,143.6988,,2022-12-20 00:00:00+00:00
97,145.18,146.28416666666666,149.04038461538462,143.94899999999998,,2022-12-21 00:00:00+00:00
98,143.48,145.75,148.88807692307694,144.1952,,2022-12-22 00:00:00+00:00
99,143.77,145.305,148.70615384615385,144.42499999999998,,2022-12-23 00:00:00+00:00
100,143.81,144.89083333333335,148.54500000000002,144.6926,,2022-12-27 00:00:00+00:00
101,141.29,144.55583333333334,148.20115384615386,144.891,,2022-12-28 00:00:00+00:00
102,142.15,144.0666666666667,147.855,145.0512,,2022-12-29 00:00:00+00:00
103,141.79,143.59166666666667,147.47423076923076,145.2118,,2022-12-30 00:00:00+00:00
104,143.6,143.33583333333334,147.135,145.402,,2023-01-03 00:00:00+00:00
105,143.76,143.2025,146.77692307692308,145.5412,,2023-01-04 00:00:00+00:00
106,143.27,143.2458333333333,146.3830769230769,145.61839999999998,,2023-01-05 00:00:00+00:00
107,146.78,143.57750000000001,146.145,145.7526,,2023-01-06 00:00:00+00:00
108,144.95,143.6525,145.8576923076923,145.8288,,2023-01-09 00:00:00+00:00
109,144.86,143.62583333333333,145.5303846153846,145.9114,,2023-01-10 00:00:00+00:00
110,146.13,143.84666666666666,145.2576923076923,145.9838,,2023-01-11 00:00:00+00:00
111,144.81,143.93333333333334,144.9946153846154,146.0334,,2023-01-12 00:00:00+00:00
112,145.29,144.05666666666667,144.8176923076923,146.1054,,2023-01-13 00:00:00+00:00
113,144.41,144.31666666666666,144.63692307692307,146.17860000000002,,2023-01-17 00:00:00+00:00
114,140.84,144.2075,144.33153846153846,146.181,,2023-01-18 00:00:00+00:00
115,138.83,143.96083333333334,144.0823076923077,146.13819999999998,,2023-01-19 00:00:00+00:00
116,140.54,143.70583333333335,143.79461538461538,146.1,,2023-01-20 00:00:00+00:00
117,142.64,143.6125,143.6080769230769,146.09699999999998,,2023-01-23 00:00:00+00:00
118,143.01,143.59083333333334,143.46730769230768,146.1678,,2023-01-24 00:00:00+00:00
119,142.34,143.22083333333333,143.35115384615386,146.1674,,2023-01-25 00:00:00+00:00
120,142.21,142.9925,143.33038461538462,146.16,,2023-01-26 00:00:00+00:00
121,143.3,142.86249999999998,143.3496153846154,146.2582,,2023-01-27 00:00:00+00:00
