,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,169.13,,,,,2022-08-04 00:00:00+00:00
1,168.83,,,,,2022-08-05 00:00:00+00:00
2,169.5,,,,,2022-08-08 00:00:00+00:00
3,169.9,,,,,2022-08-09 00:00:00+00:00
4,170.07,,,,,2022-08-10 00:00:00+00:00
5,169.74,,,,,2022-08-11 00:00:00+00:00
6,171.74,,,,,2022-08-12 00:00:00+00:00
7,172.7,,,,,2022-08-15 00:00:00+00:00
8,174.81,,,,,2022-08-16 00:00:00+00:00
9,175.29,,,,,2022-08-17 00:00:00+00:00
10,174.99,,,,,2022-08-18 00:00:00+00:00
11,174.32,171.75166666666667,,,,2022-08-19 00:00:00+00:00
12,174.24,172.1775,,,,2022-08-22 00:00:00+00:00
13,173.43,172.56083333333333,,,,2022-08-23 00:00:00+00:00
14,173.48,172.8925,,,,2022-08-24 00:00:00+00:00
15,174.63,173.28666666666666,,,,2022-08-25 00:00:00+00:00
16,171.51,173.40666666666667,,,,2022-08-26 00:00:00+00:00
17,171.73,173.5725,,,,2022-08-29 00:00:00+00:00
18,170.73,173.48833333333332,,,,2022-08-30 00:00:00+00:00
19,169.03,173.1825,,,,2022-08-31 00:00:00+00:00
20,170.04,172.785,,,,2022-09-01 00:00:00+00:00
21,168.45,172.215,,,,2022-09-02 00:00:00+00:00
22,169.16,171.72916666666666,,,,2022-09-06 00:00:00+00:00
23,173.73,171.67999999999998,,,,2022-09-07 00:00:00+00:00
24,173.58,171.625,,,,2022-09-08 00:00:00+00:00
25,173.4,171.62249999999997,171.85230769230768,,,2022-09-09 00:00:00+00:00
26,173.71,171.64166666666665,172.02846153846153,,,2022-09-12 00:00:00+00:00
27,171.21,171.35666666666668,172.12,,,2022-09-13 00:00:00+00:00
28,171.73,171.375,172.20576923076925,,,2022-09-14 00:00:00+00:00
29,171.03,171.3166666666667,172.2492307692308,,,2022-09-15 00:00:00+00:00
30,169.34,171.20083333333332,172.22115384615384,,,2022-09-16 00:00:00+00:00
31,170.91,171.3575,172.26615384615386,,,2022-09-19 00:00:00+00:00
32,169.7,171.32916666666665,172.18769230769232,,,2022-09-20 00:00:00+00:00
33,168.89,171.3658333333333,172.04115384615386,,,2022-09-21 00:00:00+00:00
34,166.87,171.17499999999998,171.73576923076922,,,2022-09-22 00:00:00+00:00
35,165.74,170.50916666666666,171.36846153846153,,,2022-09-23 00:00:00+00:00
36,165.22,169.8125,170.99269230769232,,,2022-09-26 00:00:00+00:00
37,163.22,168.96416666666667,170.5657692307692,,,2022-09-27 00:00:00+00:00
38,164.67,168.21083333333334,170.19769230769228,,,2022-09-28 00:00:00+00:00
39,161.91,167.43583333333333,169.75461538461542,,,2022-09-29 00:00:00+00:00
40,160.21,166.47583333333333,169.24423076923074,,,2022-09-30 00:00:00+00:00
41,165.09,165.98083333333332,168.87730769230768,,,2022-10-03 00:00:00+00:00
