,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,87.19,,,,,2022-08-04 00:00:00+00:00
1,88.45,,,,,2022-08-05 00:00:00+00:00
2,88.95,,,,,2022-08-08 00:00:00+00:00
3,90.59,,,,,2022-08-09 00:00:00+00:00
4,91.45,,,,,2022-08-10 00:00:00+00:00
5,93.19,,,,,2022-08-11 00:00:00+00:00
6,94.0,,,,,2022-08-12 00:00:00+00:00
7,92.32,,,,,2022-08-15 00:00:00+00:00
8,91.46,,,,,2022-08-16 00:00:00+00:00
9,92.2,,,,,2022-08-17 00:00:00+00:00
10,94.38,,,,,2022-08-18 00:00:00+00:00
11,94.08,91.52166666666666,,,,2022-08-19 00:00:00+00:00
12,94.01,92.08999999999999,,,,2022-08-22 00:00:00+00:00
13,98.0,92.88583333333334,,,,2022-08-23 00:00:00+00:00
14,98.58,93.68833333333333,,,,2022-08-24 00:00:00+00:00
15,99.09,94.39666666666666,,,,2022-08-25 00:00:00+00:00
16,97.87,94.93166666666667,,,,2022-08-26 00:00:00+00:00
17,100.12,95.50916666666666,,,,2022-08-29 00:00:00+00:00
18,96.31,95.70166666666667,,,,2022-08-30 00:00:00+00:00
19,95.59,95.97416666666668,,,,2022-08-31 00:00:00+00:00
20,93.87,96.175,,,,2022-09-01 00:00:00+00:00
21,95.59,96.4575,,,,2022-09-02 00:00:00+00:00
22,94.95,96.50500000000001,,,,2022-09-06 00:00:00+00:00
23,94.14,96.50999999999999,,,,2022-09-07 00:00:00+00:00
24,94.91,96.585,,,,2022-09-08 00:00:00+00:00
25,96.5,96.46,94.14576923076923,,,2022-09-09 00:00:00+00:00
26,97.61,96.37916666666666,94.54653846153846,,,2022-09-12 00:00:00+00:00
27,95.33,96.06583333333333,94.81115384615386,,,2022-09-13 00:00:00+00:00
28,97.67,96.04916666666666,95.14653846153846,,,2022-09-14 00:00:00+00:00
29,94.83,95.60833333333335,95.3096153846154,,,2022-09-15 00:00:00+00:00
30,93.21,95.35000000000001,95.3773076923077,,,2022-09-16 00:00:00+00:00
31,93.2,95.15083333333332,95.3776923076923,,,2022-09-19 00:00:00+00:00
32,92.44,95.03166666666668,95.3176923076923,,,2022-09-20 00:00:00+00:00
33,90.95,94.645,95.26500000000001,,,2022-09-21 00:00:00+00:00
34,90.57,94.27999999999999,95.23076923076923,,,2022-09-22 00:00:00+00:00
35,85.75,93.58083333333333,94.9826923076923,,,2022-09-23 00:00:00+00:00
36,83.98,92.67,94.58269230769231,,,2022-09-26 00:00:00+00:00
37,85.74,91.77333333333333,94.26192307692307,,,2022-09-27 00:00:00+00:00
38,88.86,91.04416666666667,94.06384615384614,,,2022-09-28 00:00:00+00:00
39,88.68,90.49000000000001,93.70538461538462,,,2022-09-29 00:00:00+00:00
40,87.31,89.62666666666667,93.27192307692309,,,2022-09-30 00:00:00+00:00
41,91.92,89.38416666666666,92.99615384615385,,,2022-10-03 00:00:00+00:00
42,95.27,89.55583333333334,92.89615384615385,,,2022-10-04 00:00:00+00:00
43,99.12,90.04916666666668,92.85769230769232,,,2022-10-05 00:00:00+00:00
44,102.06,90.85083333333334,93.07884615384614,,,2022-10-06 00:00:00+00:00
45,101.03,91.69083333333333,93.28807692307693,,,2022-10-07 00:00:00+00:00
46,98.84,92.38,93.47923076923077,,,2022-10-10 00:00:00+00:00
47,98.0,93.40083333333332,93.57192307692307,,,2022-10-11 00:00:00+00:00
48,98.43,94.605,93.70576923076922,,,2022-10-12 00:00:00+00:00
49,101.87,95.94916666666666,94.00307692307692,94.0092,,2022-10-13 00:00:00+00:00
50,99.19,96.81,94.1676923076923,94.2492,,2022-10-14 00:00:00+00:00
51,100.62,97.805,94.32615384615384,94.4926,,2022-10-17 00:00:00+00:00
52,100.8,98.92916666666667,94.44884615384616,94.72959999999999,,2022-10-18 00:00:00+00:00
53,103.79,99.91833333333334,94.77423076923077,94.99359999999999,,2022-10-19 00:00:00+00:00
54,103.93,100.64,95.015,95.2432,,2022-10-20 00:00:00+00:00
55,105.86,101.20166666666665,95.43923076923078,95.4966,,2022-10-21 00:00:00+00:00
56,106.6,101.58,95.95423076923076,95.74860000000001,,2022-10-24 00:00:00+00:00
