,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,112.86,,,,,2022-08-04 00:00:00+00:00
1,113.85,,,,,2022-08-05 00:00:00+00:00
2,114.74,,,,,2022-08-08 00:00:00+00:00
3,105.29,,,,,2022-08-09 00:00:00+00:00
4,112.01,,,,,2022-08-10 00:00:00+00:00
5,108.06,,,,,2022-08-11 00:00:00+00:00
6,109.52,,,,,2022-08-12 00:00:00+00:00
7,113.23,,,,,2022-08-15 00:00:00+00:00
8,109.19,,,,,2022-08-16 00:00:00+00:00
9,102.38,,,,,2022-08-17 00:00:00+00:00
10,103.18,,,,,2022-08-18 00:00:00+00:00
11,99.5,108.65083333333332,,,,2022-08-19 00:00:00+00:00
12,97.44,107.36583333333334,,,,2022-08-22 00:00:00+00:00
13,81.32,104.65499999999999,,,,2022-08-23 00:00:00+00:00
14,83.61,102.06083333333333,,,,2022-08-24 00:00:00+00:00
15,85.72,100.43,,,,2022-08-25 00:00:00+00:00
16,81.41,97.88,,,,2022-08-26 00:00:00+00:00
17,81.0,95.625,,,,2022-08-29 00:00:00+00:00
18,81.42,93.28333333333335,,,,2022-08-30 00:00:00+00:00
19,80.4,90.54750000000001,,,,2022-08-31 00:00:00+00:00
20,81.14,88.21,,,,2022-09-01 00:00:00+00:00
21,80.79,86.41083333333334,,,,2022-09-02 00:00:00+00:00
22,80.02,84.48083333333334,,,,2022-09-06 00:00:00+00:00
23,81.02,82.94083333333333,,,,2022-09-07 00:00:00+00:00
24,80.23,81.50666666666667,,,,2022-09-08 00:00:00+00:00
25,82.62,81.615,94.6903846153846,,,2022-09-09 00:00:00+00:00
26,84.08,81.65416666666667,93.58346153846153,,,2022-09-12 00:00:00+00:00
27,78.86,81.0825,92.2376923076923,,,2022-09-13 00:00:00+00:00
28,79.59,80.93083333333334,90.88576923076924,,,2022-09-14 00:00:00+00:00
29,80.21,80.86500000000001,89.92115384615386,,,2022-09-15 00:00:00+00:00
30,78.68,80.63666666666667,88.63923076923076,,,2022-09-16 00:00:00+00:00
31,78.32,80.46333333333332,87.49538461538462,,,2022-09-19 00:00:00+00:00
32,77.09,80.12583333333333,86.24807692307694,,,2022-09-20 00:00:00+00:00
33,75.94,79.72166666666668,84.81384615384614,,,2022-09-21 00:00:00+00:00
34,74.54,79.265,83.48115384615386,,,2022-09-22 00:00:00+00:00
35,74.45,78.7175,82.40692307692308,,,2022-09-23 00:00:00+00:00
36,73.33,78.1425,81.25884615384615,,,2022-09-26 00:00:00+00:00
37,74.26,77.44583333333333,80.28807692307693,,,2022-09-27 00:00:00+00:00
38,75.89,76.76333333333334,79.45923076923077,,,2022-09-28 00:00:00+00:00
39,74.47,76.3975,79.19576923076923,,,2022-09-29 00:00:00+00:00
40,73.59,75.8975,78.81038461538462,,,2022-09-30 00:00:00+00:00
41,73.94,75.375,78.35730769230769,,,2022-10-03 00:00:00+00:00
42,77.54,75.28,78.20846153846153,,,2022-10-04 00:00:00+00:00
43,77.52,75.21333333333332,78.07461538461538,,,2022-10-05 00:00:00+00:00
44,78.35,75.31833333333334,77.95653846153846,,,2022-10-06 00:00:00+00:00
45,76.59,75.3725,77.81,,,2022-10-07 00:00:00+00:00
46,73.72,75.30416666666666,77.52461538461539,,,2022-10-10 00:00:00+00:00
47,73.71,75.24249999999999,77.2523076923077,,,2022-10-11 00:00:00+00:00
48,75.22,75.4,77.06769230769231,,,2022-10-12 00:00:00+00:00
49,74.73,75.43916666666667,76.82576923076923,85.9314,,2022-10-13 00:00:00+00:00
50,72.29,75.13916666666667,76.52038461538463,85.12,,2022-10-14 00:00:00+00:00
51,76.69,75.32416666666667,76.29230769230769,84.3768,,2022-10-17 00:00:00+00:00
52,78.23,75.71083333333333,76.0673076923077,83.64659999999999,,2022-10-18 00:00:00+00:00
53,76.33,75.91,75.97,83.06739999999999,,2022-10-19 00:00:00+00:00
54,79.96,76.11166666666666,75.98423076923076,82.4264,,2022-10-20 00:00:00+00:00
55,80.98,76.39999999999999,76.01384615384615,81.8848,,2022-10-21 00:00:00+00:00
56,80.61,76.58833333333332,76.08807692307693,81.3066,,2022-10-24 00:00:00+00:00
57,84.09,77.21333333333332,76.31,80.7238,,2022-10-25 00:00:00+00:00
58,83.37,78.0175,76.55153846153847,80.20739999999999,,2022-10-26 00:00:00+00:00
59,82.61,78.75916666666667,76.80807692307692,79.812,,2022-10-27 00:00:00+00:00
60,84.21,79.50833333333334,77.18,79.43260000000001,,2022-10-28 00:00:00+00:00
61,83.44,80.23416666666667,77.52576923076923,79.1114,,2022-10-31 00:00:00+00:00
62,82.89,81.11749999999999,77.89346153846154,78.8204,,2022-11-01 00:00:00+00:00
