,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,174.31,,,,,2022-08-04 00:00:00+00:00
1,174.61,,,,,2022-08-05 00:00:00+00:00
2,174.01,,,,,2022-08-08 00:00:00+00:00
3,169.55,,,,,2022-08-09 00:00:00+00:00
4,174.06,,,,,2022-08-10 00:00:00+00:00
5,173.18,,,,,2022-08-11 00:00:00+00:00
6,175.67,,,,,2022-08-12 00:00:00+00:00
7,174.45,,,,,2022-08-15 00:00:00+00:00
8,171.79,,,,,2022-08-16 00:00:00+00:00
9,172.46,,,,,2022-08-17 00:00:00+00:00
10,170.17,,,,,2022-08-18 00:00:00+00:00
11,169.52,172.81500000000003,,,,2022-08-19 00:00:00+00:00
12,165.04,172.04250000000002,,,,2022-08-22 00:00:00+00:00
13,162.42,171.02666666666664,,,,2022-08-23 00:00:00+00:00
14,162.63,170.07833333333332,,,,2022-08-24 00:00:00+00:00
15,165.53,169.74333333333334,,,,2022-08-25 00:00:00+00:00
16,159.89,168.5625,,,,2022-08-26 00:00:00+00:00
17,157.87,167.28666666666666,,,,2022-08-29 00:00:00+00:00
18,157.08,165.73749999999998,,,,2022-08-30 00:00:00+00:00
19,156.53,164.24416666666667,,,,2022-08-31 00:00:00+00:00
20,159.41,163.2125,,,,2022-09-01 00:00:00+00:00
21,156.98,161.9225,,,,2022-09-02 00:00:00+00:00
22,156.84,160.81166666666667,,,,2022-09-06 00:00:00+00:00
23,160.4,160.05166666666665,,,,2022-09-07 00:00:00+00:00
24,158.49,159.50583333333336,,,,2022-09-08 00:00:00+00:00
25,164.31,159.66333333333333,166.04615384615383,,,2022-09-09 00:00:00+00:00
26,166.35,159.97333333333333,165.73999999999998,,,2022-09-12 00:00:00+00:00
27,160.99,159.595,165.21615384615384,,,2022-09-13 00:00:00+00:00
28,160.23,159.62333333333333,164.68615384615384,,,2022-09-14 00:00:00+00:00
29,159.18,159.73250000000002,164.2873076923077,,,2022-09-15 00:00:00+00:00
30,157.3,159.75083333333333,163.6426923076923,,,2022-09-16 00:00:00+00:00
